factor_id,version,market,layer,status,family,indicator,mechanism,horizon,horizon_bucket,complexity,exactness,formula_canonical,explanation,fields,operators,warning,formula_original,formula_latest,migration_changes,formula_changed,operators_latest,fields_latest,uses_extended_operators,uses_research_operators,unknown_operators,wrong_market_fields,latest_readiness,latest_tier,duplicate_of,pandas_smoke_status,pandas_48bar_notna,pandas_48bar_all_nan,pandas_820bar_recheck,validation_note,availability_tier,source_library,v8_audit_status,v8_runtime_status,v8_tail_finite_ratio,v8_tail_unique,direction_hint,removal_reasons,exhaustive_runtime_audit
pv_v4_a_0238,V4,A,daily,engine_ready,nonlinear_basic,,,nonlinear,nonlinear,basic,exact_composite,"rank(signed_log(safe_div_null(close - vwap, vwap)))",VWAP偏离的保符号对数压缩,"close,vwap","rank,safe_div_null,signed_log",Return must be normalized by DataAccess to decimal ret; Factor is used only for event/change signals.,"rank(signed_log(safe_div_null(close - vwap, vwap)))","rank(signed_log(safe_div_null(close - vwap, vwap)))",,False,"rank,safe_div_null,signed_log","close,vwap",,,,,production_candidate,strict_daily_core,,pass,240,False,not_required,latest DSL parse passed,core,web_v4_v5_v6,,,,,,rank_equivalent_duplicate_of:pv_v4_a_0206,"{""factor_id"": ""pv_v4_a_0238"", ""status"": ""pass"", ""finite_total"": 16400, ""inf_total"": 0, ""warning_count"": 0, ""warning_types"": [], ""tail_count"": 1200, ""tail_finite"": 1200, ""tail_finite_ratio"": 1.0, ""tail_unique"": 20, ""tail_std"": 0.30348848933344197, ""tail_abs_max"": 1.0, ""tail_abs_median"": 0.5, ""median_cs_unique"": 20.0, ""min_cs_unique"": 20}"
pv_v4_a_0276,V4,A,daily,engine_ready,data_consistency,,,quality,quality,basic,exact_composite,cs_count(close),当日有效收盘价的横截面覆盖数量,close,cs_count,Return must be normalized by DataAccess to decimal ret; Factor is used only for event/change signals.,cs_count(close),cs_count(close),,False,cs_count,close,,,,,production_candidate,strict_daily_core,,pass,240,False,not_required,latest DSL parse passed,core,web_v4_v5_v6,,,,,,non_alpha_family:data_consistency | not_cross_sectional_alpha:market_aggregate_constant,"{""factor_id"": ""pv_v4_a_0276"", ""status"": ""pass"", ""finite_total"": 16400, ""inf_total"": 0, ""warning_count"": 0, ""warning_types"": [], ""tail_count"": 1200, ""tail_finite"": 1200, ""tail_finite_ratio"": 1.0, ""tail_unique"": 1, ""tail_std"": 0.0, ""tail_abs_max"": 20.0, ""tail_abs_median"": 20.0, ""median_cs_unique"": 1.0, ""min_cs_unique"": 1}"
pv_v4_a_0277,V4,A,daily,engine_ready,data_consistency,,,quality,quality,basic,exact_composite,cs_count(amount),当日有效成交额的横截面覆盖数量,amount,cs_count,Return must be normalized by DataAccess to decimal ret; Factor is used only for event/change signals.,cs_count(amount),cs_count(amount),,False,cs_count,amount,,,,,production_candidate,strict_daily_core,,pass,240,False,not_required,latest DSL parse passed,core,web_v4_v5_v6,,,,,,non_alpha_family:data_consistency | not_cross_sectional_alpha:market_aggregate_constant,"{""factor_id"": ""pv_v4_a_0277"", ""status"": ""pass"", ""finite_total"": 16400, ""inf_total"": 0, ""warning_count"": 0, ""warning_types"": [], ""tail_count"": 1200, ""tail_finite"": 1200, ""tail_finite_ratio"": 1.0, ""tail_unique"": 1, ""tail_std"": 0.0, ""tail_abs_max"": 20.0, ""tail_abs_median"": 20.0, ""median_cs_unique"": 1.0, ""min_cs_unique"": 1}"
pv_v4_a_0278,V4,A,daily,engine_ready,data_consistency,,,quality,quality,basic,exact_composite,cs_std(ret),当日市场收益离散度,ret,cs_std,Return must be normalized by DataAccess to decimal ret; Factor is used only for event/change signals.,cs_std(ret),cs_std(ret),,False,cs_std,ret,,,,,production_candidate,strict_daily_core,,pass,240,False,not_required,latest DSL parse passed,core,web_v4_v5_v6,,,,,,non_alpha_family:data_consistency | not_cross_sectional_alpha:market_aggregate_constant,"{""factor_id"": ""pv_v4_a_0278"", ""status"": ""pass"", ""finite_total"": 16400, ""inf_total"": 0, ""warning_count"": 0, ""warning_types"": [], ""tail_count"": 1200, ""tail_finite"": 1200, ""tail_finite_ratio"": 1.0, ""tail_unique"": 60, ""tail_std"": 0.0019734271034847583, ""tail_abs_max"": 0.01768391504683133, ""tail_abs_median"": 0.011888602134487964, ""median_cs_unique"": 1.0, ""min_cs_unique"": 1}"
pv_v4_a_0279,V4,A,daily,engine_ready,data_consistency,,,quality,quality,basic,exact_composite,cs_mean(ret),当日市场平均收益,ret,cs_mean,Return must be normalized by DataAccess to decimal ret; Factor is used only for event/change signals.,cs_mean(ret),cs_mean(ret),,False,cs_mean,ret,,,,,production_candidate,strict_daily_core,,pass,240,False,not_required,latest DSL parse passed,core,web_v4_v5_v6,,,,,,non_alpha_family:data_consistency | not_cross_sectional_alpha:market_aggregate_constant,"{""factor_id"": ""pv_v4_a_0279"", ""status"": ""pass"", ""finite_total"": 16400, ""inf_total"": 0, ""warning_count"": 0, ""warning_types"": [], ""tail_count"": 1200, ""tail_finite"": 1200, ""tail_finite_ratio"": 1.0, ""tail_unique"": 60, ""tail_std"": 0.002782244590503613, ""tail_abs_max"": 0.007628551347961204, ""tail_abs_median"": 0.0017834785672310588, ""median_cs_unique"": 1.0, ""min_cs_unique"": 1}"
pv_v4_a_0280,V4,A,daily,engine_ready,data_consistency,,,quality,quality,basic,exact_composite,"-rank(abs(vwap - safe_div_null(amount, volume)) / close)",VWAP与成交额/成交量隐含均价的一致性,"amount,close,volume,vwap","abs,rank,safe_div_null",Return must be normalized by DataAccess to decimal ret; Factor is used only for event/change signals.,"-rank(abs(vwap - safe_div_null(amount, volume)) / close)","-rank(abs(vwap - safe_div_null(amount, volume)) / close)",,False,"abs,rank,safe_div_null","amount,close,volume,vwap",,,,,production_candidate,strict_daily_core,,pass,240,False,not_required,latest DSL parse passed,core,web_v4_v5_v6,,,,,,diagnostic_or_consistency_signal | non_alpha_family:data_consistency,"{""factor_id"": ""pv_v4_a_0280"", ""status"": ""pass"", ""finite_total"": 16400, ""inf_total"": 0, ""warning_count"": 0, ""warning_types"": [], ""tail_count"": 1200, ""tail_finite"": 1200, ""tail_finite_ratio"": 1.0, ""tail_unique"": 20, ""tail_std"": 0.30348848933344197, ""tail_abs_max"": 1.0, ""tail_abs_median"": 0.5, ""median_cs_unique"": 20.0, ""min_cs_unique"": 20}"
pv_v4_a_0283,V4,A,daily,engine_ready,operator_coverage_basic,,,operator_coverage,operator_coverage,moderate,exact_composite,"rank(log_abs(coalesce(ret, safe_div_null(close, pre_close) - 1.0)))",日收益绝对值的对数压缩,"close,pre_close,ret","coalesce,log_abs,rank,safe_div_null",Return must be normalized by DataAccess to decimal ret; Factor is used only for event/change signals.,"rank(log_abs(coalesce(ret, safe_div_null(close, pre_close) - 1.0)))","rank(log_abs(coalesce(ret, safe_div_null(close, pre_close) - 1.0)))",,False,"coalesce,log_abs,rank,safe_div_null","close,pre_close,ret",,,,,production_candidate,strict_daily_core,,pass,235,False,not_required,latest DSL parse passed,core,web_v4_v5_v6,,,,,,runtime_warning:RuntimeWarning,"{""factor_id"": ""pv_v4_a_0283"", ""status"": ""pass"", ""finite_total"": 16380, ""inf_total"": 0, ""warning_count"": 1, ""warning_types"": [""RuntimeWarning""], ""tail_count"": 1200, ""tail_finite"": 1200, ""tail_finite_ratio"": 1.0, ""tail_unique"": 20, ""tail_std"": 0.303488489333442, ""tail_abs_max"": 1.0, ""tail_abs_median"": 0.5, ""median_cs_unique"": 20.0, ""min_cs_unique"": 20}"
pv_v4_a_0285,V4,A,daily,engine_ready,operator_coverage_basic,,,operator_coverage,operator_coverage,basic,exact_composite,"cs_mad(coalesce(ret, safe_div_null(close, pre_close) - 1.0))",当日收益横截面MAD离散度,"close,pre_close,ret","coalesce,cs_mad,safe_div_null",Return must be normalized by DataAccess to decimal ret; Factor is used only for event/change signals.,"cs_mad(coalesce(ret, safe_div_null(close, pre_close) - 1.0))","cs_mad(coalesce(ret, safe_div_null(close, pre_close) - 1.0))",,False,"coalesce,cs_mad,safe_div_null","close,pre_close,ret",,,,,production_candidate,strict_daily_core,,pass,240,False,not_required,latest DSL parse passed,core,web_v4_v5_v6,,,,,,not_cross_sectional_alpha:market_aggregate_constant,"{""factor_id"": ""pv_v4_a_0285"", ""status"": ""pass"", ""finite_total"": 16400, ""inf_total"": 0, ""warning_count"": 0, ""warning_types"": [], ""tail_count"": 1200, ""tail_finite"": 1200, ""tail_finite_ratio"": 1.0, ""tail_unique"": 60, ""tail_std"": 0.0024566956418079332, ""tail_abs_max"": 0.0138183743761775, ""tail_abs_median"": 0.008083142531508464, ""median_cs_unique"": 1.0, ""min_cs_unique"": 1}"
pv_v4_a_0286,V4,A,daily,engine_ready,operator_coverage_basic,,,operator_coverage,operator_coverage,basic,exact_composite,"cs_sum(coalesce(ret, safe_div_null(close, pre_close) - 1.0))",当日全市场收益聚合,"close,pre_close,ret","coalesce,cs_sum,safe_div_null",Return must be normalized by DataAccess to decimal ret; Factor is used only for event/change signals.,"cs_sum(coalesce(ret, safe_div_null(close, pre_close) - 1.0))","cs_sum(coalesce(ret, safe_div_null(close, pre_close) - 1.0))",,False,"coalesce,cs_sum,safe_div_null","close,pre_close,ret",,,,,production_candidate,strict_daily_core,,pass,240,False,not_required,latest DSL parse passed,core,web_v4_v5_v6,,,,,,not_cross_sectional_alpha:market_aggregate_constant,"{""factor_id"": ""pv_v4_a_0286"", ""status"": ""pass"", ""finite_total"": 16400, ""inf_total"": 0, ""warning_count"": 0, ""warning_types"": [], ""tail_count"": 1200, ""tail_finite"": 1200, ""tail_finite_ratio"": 1.0, ""tail_unique"": 60, ""tail_std"": 0.05564489181007227, ""tail_abs_max"": 0.1525710269592241, ""tail_abs_median"": 0.035669571344621176, ""median_cs_unique"": 1.0, ""min_cs_unique"": 1}"
pv_v4_a_0290,V4,A,daily,engine_ready,operator_coverage_basic,,,quality,quality,basic,exact_composite,"cs_mean(where(is_null(vwap), 1.0, 0.0))",当日A股VWAP字段横截面缺失率,vwap,"cs_mean,is_null,where",Return must be normalized by DataAccess to decimal ret; Factor is used only for event/change signals.,"cs_mean(where(is_null(vwap), 1.0, 0.0))","cs_mean(where(is_null(vwap), 1.0, 0.0))",,False,"cs_mean,is_null,where",vwap,,,,,production_candidate,strict_daily_core,,pass,240,False,not_required,latest DSL parse passed,core,web_v4_v5_v6,,,,,,diagnostic_or_consistency_signal | not_cross_sectional_alpha:market_aggregate_constant,"{""factor_id"": ""pv_v4_a_0290"", ""status"": ""pass"", ""finite_total"": 16400, ""inf_total"": 0, ""warning_count"": 0, ""warning_types"": [], ""tail_count"": 1200, ""tail_finite"": 1200, ""tail_finite_ratio"": 1.0, ""tail_unique"": 1, ""tail_std"": 0.0, ""tail_abs_max"": 0.0, ""tail_abs_median"": 0.0, ""median_cs_unique"": 1.0, ""min_cs_unique"": 1}"
pv_v4_aext_0001,V4,A,field_pending,field_registration_required,a_limit_suspend_extension,,,3,ultra_short,basic,exact_composite,"rank(ts_mean(where(high >= high_limit * 0.999, 1.0, 0.0), 3))",3日触及涨停频率,"high,high_limit","rank,ts_mean,where",Requires registering high_limit/low_limit/is_suspend in the FactorEngine field governance and mapping DataAccess output_names.,"rank(ts_mean(where(high >= high_limit * 0.999, 1.0, 0.0), 3))","rank(ts_mean(where(high >= high_limit * 0.999, 1.0, 0.0), 3))",,False,"rank,ts_mean,where","high,high_limit",,,,,field_pending,strict_daily_core,,pass,240,False,not_required,latest DSL parse passed,core,web_v4_v5_v6,,,,,,not_production_ready:field_pending,
pv_v4_aext_0002,V4,A,field_pending,field_registration_required,a_limit_suspend_extension,,,20,short,basic,exact_composite,"rank(ts_mean(where(high >= high_limit * 0.999, 1.0, 0.0), 20))",20日触及涨停频率,"high,high_limit","rank,ts_mean,where",Requires registering high_limit/low_limit/is_suspend in the FactorEngine field governance and mapping DataAccess output_names.,"rank(ts_mean(where(high >= high_limit * 0.999, 1.0, 0.0), 20))","rank(ts_mean(where(high >= high_limit * 0.999, 1.0, 0.0), 20))",,False,"rank,ts_mean,where","high,high_limit",,,,,field_pending,strict_daily_core,,pass,240,False,not_required,latest DSL parse passed,core,web_v4_v5_v6,,,,,,not_production_ready:field_pending,
pv_v4_aext_0003,V4,A,field_pending,field_registration_required,a_limit_suspend_extension,,,40,medium,basic,exact_composite,"rank(ts_mean(safe_div_null(close - low_limit, close), 40))",40日距离跌停价的平均安全空间,"close,low_limit","rank,safe_div_null,ts_mean",Requires registering high_limit/low_limit/is_suspend in the FactorEngine field governance and mapping DataAccess output_names.,"rank(ts_mean(safe_div_null(close - low_limit, close), 40))","rank(ts_mean(safe_div_null(close - low_limit, close), 40))",,False,"rank,safe_div_null,ts_mean","close,low_limit",,,,,field_pending,strict_daily_core,,pass,240,False,not_required,latest DSL parse passed,core,web_v4_v5_v6,,,,,,not_production_ready:field_pending,
pv_v4_aext_0004,V4,A,field_pending,field_registration_required,a_limit_suspend_extension,,,252,long,basic,exact_composite,"-rank(ts_mean(where(low <= low_limit * 1.001, 1.0, 0.0), 252))",252日触及跌停频率,"low,low_limit","rank,ts_mean,where",Requires registering high_limit/low_limit/is_suspend in the FactorEngine field governance and mapping DataAccess output_names.,"-rank(ts_mean(where(low <= low_limit * 1.001, 1.0, 0.0), 252))","-rank(ts_mean(where(low <= low_limit * 1.001, 1.0, 0.0), 252))",,False,"rank,ts_mean,where","low,low_limit",,,,,field_pending,strict_daily_core,,pass,240,False,not_required,latest DSL parse passed,core,web_v4_v5_v6,,,,,,not_production_ready:field_pending,
pv_v4_aext_0005,V4,A,field_pending,field_registration_required,a_limit_suspend_extension,,,3,ultra_short,basic,exact_composite,"-rank(ts_mean(where(is_suspend, 1.0, 0.0), 3))",3日停牌比例,is_suspend,"rank,ts_mean,where",Requires registering high_limit/low_limit/is_suspend in the FactorEngine field governance and mapping DataAccess output_names.,"-rank(ts_mean(where(is_suspend, 1.0, 0.0), 3))","-rank(ts_mean(where(is_suspend, 1.0, 0.0), 3))",,False,"rank,ts_mean,where",is_suspend,,,,,field_pending,strict_daily_core,,pass,240,False,not_required,latest DSL parse passed,core,web_v4_v5_v6,,,,,,not_production_ready:field_pending,
pv_v4_aext_0006,V4,A,field_pending,field_registration_required,a_limit_suspend_extension,,,20,short,basic,exact_composite,"rank(ts_mean(safe_div_null(close - low_limit, high_limit - low_limit), 20))",20日收盘在涨跌停区间的平均位置,"close,high_limit,low_limit","rank,safe_div_null,ts_mean",Requires registering high_limit/low_limit/is_suspend in the FactorEngine field governance and mapping DataAccess output_names.,"rank(ts_mean(safe_div_null(close - low_limit, high_limit - low_limit), 20))","rank(ts_mean(safe_div_null(close - low_limit, high_limit - low_limit), 20))",,False,"rank,safe_div_null,ts_mean","close,high_limit,low_limit",,,,,field_pending,strict_daily_core,,pass,240,False,not_required,latest DSL parse passed,core,web_v4_v5_v6,,,,,,not_production_ready:field_pending,
pv_v4_aext_0007,V4,A,field_pending,field_registration_required,a_limit_suspend_extension,,,40,medium,basic,exact_composite,"rank(ts_mean(safe_div_null(close - low_limit, high_limit - low_limit), 40))",40日收盘在涨跌停区间的平均位置,"close,high_limit,low_limit","rank,safe_div_null,ts_mean",Requires registering high_limit/low_limit/is_suspend in the FactorEngine field governance and mapping DataAccess output_names.,"rank(ts_mean(safe_div_null(close - low_limit, high_limit - low_limit), 40))","rank(ts_mean(safe_div_null(close - low_limit, high_limit - low_limit), 40))",,False,"rank,safe_div_null,ts_mean","close,high_limit,low_limit",,,,,field_pending,strict_daily_core,,pass,240,False,not_required,latest DSL parse passed,core,web_v4_v5_v6,,,,,,not_production_ready:field_pending,
pv_v4_aext_0008,V4,A,field_pending,field_registration_required,a_limit_suspend_extension,,,252,long,basic,exact_composite,"-rank(ts_mean(where(close <= low_limit * 1.001, 1.0, 0.0), 252))",252日收盘跌停频率,"close,low_limit","rank,ts_mean,where",Requires registering high_limit/low_limit/is_suspend in the FactorEngine field governance and mapping DataAccess output_names.,"-rank(ts_mean(where(close <= low_limit * 1.001, 1.0, 0.0), 252))","-rank(ts_mean(where(close <= low_limit * 1.001, 1.0, 0.0), 252))",,False,"rank,ts_mean,where","close,low_limit",,,,,field_pending,strict_daily_core,,pass,240,False,not_required,latest DSL parse passed,core,web_v4_v5_v6,,,,,,not_production_ready:field_pending,
