# Operator Master List Gap Analysis - HEAD: 854bdc2278678e3db03c894c059cd5fdbb7dac1b
# Generated: 2026-08-12
# Total candidates: 245
# ARCHITECTURE_SUPERSEDED: 1
# BLOCKED_DATA_CONTRACT: 2
# EXISTING_ALIAS: 6
# EXISTING_EQUIVALENT: 1
# EXISTING_EXACT: 6
# PROD_RECERTIFY: 22
# RESEARCH_ONLY: 34
# TRUE_GAP_IMPLEMENT: 173

candidate,source_round,current_exact,current_alias,semantic_equivalent,composable,replacement,current_surface,pandas_backend,polars_backend,duckdb_backend,field_legal,pit_legal,stateful,checkpointable,parameter_evidence,disposition,reason
fiscal_logit_score,FISCAL_RELATION,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
fiscal_pair_direction_agreement,FISCAL_RELATION,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
fiscal_pct_change,R41,,fin_pct_change,,,,extended,,,,,,,,,EXISTING_ALIAS,Alias for fin_pct_change (extended)
fiscal_perpetual_inventory,FISCAL_RELATION,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
fiscal_reversal_ratio,FISCAL_RELATION,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
fiscal_rolling_regression,R41,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
fiscal_rolling_regression_resid,FISCAL_RELATION,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
fiscal_rolling_slope,FISCAL_RELATION,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
fiscal_rolling_std,R41,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
fiscal_standardized_surprise,FISCAL_RELATION,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
fiscal_true_streak,FISCAL_RELATION,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
fundamental_cash_flow_duration,R44,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
fundamental_cost_stickiness_panel,R46,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
fundamental_latent_balance_sheet_factor,R46,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
fundamental_staleness_days,FISCAL_RELATION,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
fundamental_working_capital_financing_state,R46,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
group_cs_resid,FISCAL_RELATION,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
holder_concentration_change,FISCAL_RELATION,holder_concentration_change,,,,,research,,,,,,,,,EXISTING_EXACT,Found in research surface
industry_fiscal_resid,FISCAL_RELATION,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
industry_size_neutralize,FISCAL_RELATION,industry_size_neutralize,,,,,extended,,,,,,,,,EXISTING_EXACT,Found in extended surface
intra_absorption_curve_area,R46,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_bicoherence_features,R46,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_business_time_deformation,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_change_point_sequence_features,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_cojump_breadth_ex_self,R42,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_common_trading_intensity,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_comovement_curve_ex_self,R46,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_consolidation_quality,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_contrastive_path_embedding,R45,,,,,,,,,,,,,,,RESEARCH_ONLY,"Complex ML/topological method, research surface first"
intra_covariance_manifold_shift,R45,,,,,,,,,,,,,,,RESEARCH_ONLY,"Complex ML/topological method, research surface first"
intra_critical_transition_score,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_diffusion_map_state,R45,,,,,,,,,,,,,,,RESEARCH_ONLY,"Complex ML/topological method, research surface first"
intra_distribution_moment,R42,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_dmd_koopman_features,R45,,,,,,,,,,,,,,,RESEARCH_ONLY,"Complex ML/topological method, research surface first"
intra_dtw_archetype_features,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_dynamic_stock_graph_features,R45,,,,,,,,,,,,,,,RESEARCH_ONLY,"Complex ML/topological method, research surface first"
intra_emd_hilbert_huang_features,R45,,,,,,,,,,,,,,,RESEARCH_ONLY,"Complex ML/topological method, research surface first"
intra_eod_reversal_decomposition,R46,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_event_pre_post_contrast,PRIMITIVES,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_event_window_reduce,PRIMITIVES,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_extreme_event_interval_memory,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_frequency_granger_price_volume,R46,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_function_on_function_anomaly_response,R47,,,,,,,,,,,,,,,RESEARCH_ONLY,"Complex ML/topological method, research surface first"
intra_functional_autoencoder_score,R47,,,,,,,,,,,,,,,RESEARCH_ONLY,"Complex ML/topological method, research surface first"
intra_functional_beta_profile_ex_self,R43,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_functional_motif_score,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_functional_pca_shape,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_hawkes_event_features,R45,,,,,,,,,,,,,,,RESEARCH_ONLY,"Complex ML/topological method, research surface first"
intra_hmm_posterior_entropy,R47,,,,,,,,,,,,,,,RESEARCH_ONLY,"Complex ML/topological method, research surface first"
intra_hmm_state_features,R45,,,,,,,,,,,,,,,RESEARCH_ONLY,"Complex ML/topological method, research surface first"
intra_hsmm_duration_features,R45,,,,,,,,,,,,,,,RESEARCH_ONLY,"Complex ML/topological method, research surface first"
intra_idiosyncratic_semivariance_balance_ex_self,R43,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_impulse_event_detector,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_information_flow_features,R45,,,,,,,,,,,,,,,RESEARCH_ONLY,"Complex ML/topological method, research surface first"
intra_jump_wavelet_morphology,R42,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_kalman_latent_price,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_kramers_moyal_dynamics,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_limit_pre_hit_pressure_profile,R44,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_liquidity_resilience_curve_fit,R47,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_local_conditional_entropy,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_local_drift_diffusion_surface,R46,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_log_signature_features,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_market_profile_corr_ex_self,R41,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_matrix_profile_session_features,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_multifractal_spectrum,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_multiresolution_resample_reduce,R43,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_multiscale_state_residence,R46,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_neighbor_event_class,R42,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_neural_cde_embedding,R45,,,,,,,,,,,,,,,RESEARCH_ONLY,"Complex ML/topological method, research surface first"
intra_optimal_transport_profile_shift,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_persistent_homology_features,R45,,,,,,,,,,,,,,,RESEARCH_ONLY,"Complex ML/topological method, research surface first"
intra_piecewise_linear_path_features,PRIMITIVES,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_post_impulse_response,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_price_efficiency_state_space,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_price_peak_ridge_valley_state,R42,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_price_shape_cosine_match,R42,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_price_volume_cross_wavelet,R46,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_probe_outcome_score,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_quantile_dependence_features,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_range_competition_profile,R46,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_range_gap_flag,R42,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_realized_measure_state_vector,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_recurrence_network_features,R46,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_response_curve_features,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_round_price_barrier_response,R44,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_round_price_clustering_share,R44,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_rqa_features,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_same_slot_zscore,R42,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_session_boundary_jump,R44,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_session_ot_map,R46,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_session_segment_reduce,R44,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_shapelet_match,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_signature_lead_lag_network,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_slice_mask_pair_reduce,R43,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_slice_mask_reduce,R43,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_smart_money_fcm_score,R42,,,,,,,,,,,,,,,RESEARCH_ONLY,"Complex ML/topological method, research surface first"
intra_smart_money_vwap_ratio,R42,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_state_count,R42,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_state_dwell_stats,PRIMITIVES,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_state_follow_beta,R42,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_state_follow_corr,R42,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_state_follow_ratio,R42,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_state_interval_moment,R42,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_state_pair_same_slot_corr,R42,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_state_space_volume_components,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_state_sum,R42,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_state_transition_entropy,PRIMITIVES,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_state_vwap,R42,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_supply_absorption_score,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_symbolic_dynamics_features,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_tensor_common_mode,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_topological_anomaly_score,R45,,,,,,,,,,,,,,,RESEARCH_ONLY,"Complex ML/topological method, research surface first"
intra_topological_peer_anomaly,R45,,,,,,,,,,,,,,,RESEARCH_ONLY,"Complex ML/topological method, research surface first"
intra_transfer_operator_metastability,R46,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_validated_lead_lag_network,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_visibility_graph_features,R45,,,,,,,,,,,,,,,RESEARCH_ONLY,"Complex ML/topological method, research surface first"
intra_visibility_motif_transition,R46,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_volume_at_price_profile,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_volume_peak_ridge_valley_state,R42,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_volume_profile_peak_geometry,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_volume_profile_supply_structure,R45,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_volume_profile_value_area,R46,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_volume_shock_state,R46,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
intra_wavelet_scattering_features,R45,,,,,,,,,,,,,,,RESEARCH_ONLY,"Complex ML/topological method, research surface first"
intraday_value_at_extreme_state,R41,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
laborforce_efficiency,FISCAL_RELATION,,,,,,,,,,,,,,,BLOCKED_DATA_CONTRACT,Missing employee_count field in A-share data
panel_apm_residual_tstat,R42,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
panel_async_beta_ex_self,R42,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
panel_cluster_risk_score,R43,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
panel_cmra_ex_self,R43,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
panel_day_night_beta_gap,R42,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
panel_ewm_beta_ex_self,R43,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
panel_factor_pocket_strength,R42,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
panel_intraday_low_rank_residual_ex_self,R46,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
panel_intraday_ordered_reduce,R43,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
panel_peer_graph_aggregate,R41,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
panel_predictability_mosaic_score,R42,,,,,,,,,,,,,,,RESEARCH_ONLY,"Complex ML/topological method, research surface first"
panel_similarity_crowding_score,R43,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
pastor_stambaugh_beta,R41,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
price_delay_score,R41,,ts_price_delay,,,,extended,,,,,,,,,EXISTING_ALIAS,Alias for ts_price_delay (extended)
relation_entropy,FISCAL_RELATION,relation_entropy,,,,,extended,,,,,,,,,EXISTING_EXACT,Found in extended surface
relation_jaccard,FISCAL_RELATION,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
relation_period_change,FISCAL_RELATION,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
report_asof,R41,,,,,,,,,,,,,,,ARCHITECTURE_SUPERSEDED,PIT join should be handled by DataAccess layer
revision_delta,FISCAL_RELATION,revision_delta,,,,,extended,,,,,,,,,EXISTING_EXACT,Found in extended surface
row_sum_skipna,FISCAL_RELATION,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
same_calendar_day_mean,R41,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
same_calendar_month_return,R41,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
same_clock_lag,R41,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
state_adaptive_deadband,PROD_RECERTIFY,state_adaptive_deadband,,,,,extended,,,,,,,,,PROD_RECERTIFY,"Exists in extended surface, needs backend/evidence certification"
state_adaptive_slew_limit,PROD_RECERTIFY,state_adaptive_slew_limit,,,,,extended,,,,,,,,,PROD_RECERTIFY,"Exists in extended surface, needs backend/evidence certification"
state_change_point_adaptive_ema,FILTER_STATE,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
state_confidence_weighted_ema,PROD_RECERTIFY,state_confidence_weighted_ema,,,,,extended,,,,,,,,,PROD_RECERTIFY,"Exists in extended surface, needs backend/evidence certification"
state_cost_aware_deadband,PROD_RECERTIFY,state_cost_aware_deadband,,,,,extended,,,,,,,,,PROD_RECERTIFY,"Exists in extended surface, needs backend/evidence certification"
state_cost_aware_slew,PROD_RECERTIFY,state_cost_aware_slew,,,,,extended,,,,,,,,,PROD_RECERTIFY,"Exists in extended surface, needs backend/evidence certification"
state_elastic_turnover_prox,FILTER_STATE,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
state_filter_reset_on_break,FILTER_STATE,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
state_gain_scheduler,FILTER_STATE,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
state_l1_turnover_prox,PROD_RECERTIFY,state_l1_turnover_prox,,,,,extended,,,,,,,,,PROD_RECERTIFY,"Exists in extended surface, needs backend/evidence certification"
state_l2_partial_adjustment,PROD_RECERTIFY,state_l2_partial_adjustment,,,,,extended,,,,,,,,,PROD_RECERTIFY,"Exists in extended surface, needs backend/evidence certification"
state_quantile_hysteresis,PROD_RECERTIFY,state_quantile_hysteresis,,,,,extended,,,,,,,,,PROD_RECERTIFY,"Exists in extended surface, needs backend/evidence certification"
state_rank_deadband,PROD_RECERTIFY,state_rank_deadband,,,,,extended,,,,,,,,,PROD_RECERTIFY,"Exists in extended surface, needs backend/evidence certification"
state_uncertainty_deadband,PROD_RECERTIFY,state_uncertainty_deadband,,,,,extended,,,,,,,,,PROD_RECERTIFY,"Exists in extended surface, needs backend/evidence certification"
suspension_restart_response,R44,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
trading_calendar_mask,R44,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
ts_adaptive_noise_kalman,FILTER_STATE,,,,,,,,,,,,,,,RESEARCH_ONLY,"Complex ML/topological method, research surface first"
ts_alpha_beta_filter,FILTER_STATE,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
ts_bessel_lowpass_causal,FILTER_STATE,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
