canonical,category,module,source,direct_status,backends,input_units,input_grain,output_unit,final_status,blocker,math_issue,input_issue,unit_issue,grain_issue,revision_issue,pit_issue,same_day_issue,period_issue,missing_issue,parameter_issue,backend_issue,incremental_issue,cross_market_issue,input_semantic_unknown,severity
RSX,technical_signal,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
Supertrend,technical_signal,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
SupertrendDirection,technical_signal,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
TEMA,technical_signal,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
TSI,technical_signal,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
TSI_signal,technical_signal,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
UltimateOscillator,technical_signal,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
VortexMinus,technical_signal,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
VortexPlus,technical_signal,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
WMA,time_series,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
a_share_cap_ratio,valuation,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
abnormal_turnover,price_volume_extension,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
abnormal_volume,price_volume_extension,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
abs,math,,,production,pandas_numpy;polars;sql,,,,CERTIFIED,,,,,,,,,,,,,,,R23-317,
abs_return_volume_corr,price_volume_extension,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
accounting_comparability_score,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
acos,math,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
acos_bounded,math,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
add,elementwise_math,,,production,pandas_numpy;polars;sql,,,,CERTIFIED,,,,,,,,,,,,,,,R23-317,
adv,price_volume_extension,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
altman_z_score,fundamental_period,,,experimental,pandas_numpy;polars,"{'working_capital': 'stock', 'retained_earnings': 'stock', 'operating_profit': 'flow', 'total_assets': 'stock', 'market_cap': 'stock', 'total_liabilities': 'stock', 'revenue': 'flow', 'net_profit': 'flow', 'current_assets': 'stock', 'current_liabilities': 'stock', 'period_id': 'fiscal_period'}",,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,,P1
amihud_illiquidity,price_volume_extension,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
and_,elementwise_math,,,production,pandas_numpy;polars;sql,,,,CERTIFIED,,,,,,,,,,,,,,,R23-317,
arg,,,,experimental,pandas_numpy,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,single-backend,,,R23-317,P1
ashare_days_since_limit_down,ashare,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
ashare_days_since_limit_up,ashare,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
ashare_failed_limit_count,ashare,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
ashare_limit_asymmetry,ashare,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
ashare_limit_distance,ashare,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
ashare_limit_down_streak,ashare,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
ashare_limit_down_touch,ashare,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
ashare_limit_down_volume_ratio,ashare,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
ashare_limit_event_density,ashare,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
ashare_limit_failed,ashare,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
ashare_limit_one_price,ashare,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
ashare_limit_open_down_streak,ashare,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
ashare_limit_open_failed,ashare,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
ashare_limit_open_up_streak,ashare,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
ashare_limit_touch_count,ashare,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
ashare_limit_up_streak,ashare,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
ashare_limit_up_touch,ashare,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
ashare_limit_up_volume_ratio,ashare,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
ashare_one_price_limit_streak,ashare,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
ashare_open_at_upper_limit,ashare,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
ashare_suspension_episode_length,ashare,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
asin,math,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
asin_bounded,math,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
atan,math,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
atan2,math,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
atr_acceleration,technical_signal,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
atr_pct,technical_signal,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
atr_percentile,technical_signal,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
atr_short_long_ratio,technical_signal,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
atr_zscore,technical_signal,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
average_turnover,price_volume_extension,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
baseline_scaled_wasserstein_distance,intraday_microstructure,,,experimental,pandas_numpy;polars,,minute,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,,P1
benchmark_excess_return,ashare,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
benchmark_relative_price,ashare,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
beta_divergence_pct,technical_signal,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
beta_residual_z,technical_signal,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
bollinger_pct_b,technical_signal,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
bollinger_width,technical_signal,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
book_to_price,ashare,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
bounded_nvi,price_volume_extension,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
bounded_pvi,price_volume_extension,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
bvc_imbalance_ma,technical_signal,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
bvc_sign_pct,technical_signal,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
calendar_day_diff,event,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
candle_abs_body,candle_geometry,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
candle_body,candle_geometry,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
candle_body_percentile,candle_pattern,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
candle_body_position,candle_pattern,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
candle_body_ratio,candle_geometry,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
candle_body_strength,technical_signal,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
candle_body_zscore,candle_pattern,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
candle_close_location,candle_geometry,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
candle_close_strength,candle_pattern,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
candle_direction,candle_geometry,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
candle_gap,candle_geometry,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
candle_gap_atr,candle_pattern,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
candle_gap_pct,candle_geometry,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
candle_inside_ratio,candle_pattern,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
candle_lower_shadow,candle_geometry,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
candle_lower_shadow_ratio,candle_geometry,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
candle_lower_shadow_zscore,candle_pattern,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
candle_overlap_ratio,candle_pattern,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
candle_pattern_count,technical_signal,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
candle_range,candle_geometry,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
candle_range_atr,candle_geometry,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
candle_range_pct,technical_signal,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
candle_range_percentile,candle_pattern,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
candle_range_zscore,candle_pattern,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
candle_rejection_lower,candle_pattern,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
candle_rejection_upper,candle_pattern,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
candle_upper_shadow,candle_geometry,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
candle_upper_shadow_ratio,candle_geometry,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
candle_upper_shadow_zscore,candle_pattern,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
candle_wick_balance,technical_signal,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
candlestick_pattern,candle_pattern,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
capital_change_age,valuation,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
capital_change_magnitude,valuation,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
cash_flow_lifecycle_stage,fundamental_period,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
category_age,technical_signal,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
category_age_lower_bound,technical_signal,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
category_frequency,technical_signal,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
category_transition_rate,technical_signal,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
category_transition_surprise,technical_signal,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
cbrt,math,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
cdl_dark_cloud_cover,candle_pattern,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
cdl_doji,candle_pattern,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
cdl_dragonfly_doji,candle_pattern,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
cdl_engulfing,candle_pattern,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
cdl_evening_star,candle_pattern,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
cdl_gravestone_doji,candle_pattern,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
cdl_hammer,candle_pattern,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
cdl_hanging_man,candle_pattern,,,experimental,pandas_numpy;polars,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
cdl_harami,candle_pattern,,,experimental,pandas_numpy;polars;sql,,,,SUPPORTING_ONLY,experimental lifecycle: not production-certified (R23-303),,,,,,,,,,,,,,R23-317,P1
