file,line,pattern,hazard_class,context
cleaned_operators/alpha_language_state.py,286,"deque",STATE_HISTORY,"rives the min_periods gate.             buf: deque[float] = deque(maxlen=w)             run_len = 0      "
cleaned_operators/alpha_language_state.py,286,"deque",STATE_HISTORY,"eriods gate.             buf: deque[float] = deque(maxlen=w)             run_len = 0             prev_sta"
cleaned_operators/alpha_language_state.py,311,"deque",STATE_HISTORY,"             else:                     buf = deque([xv[row, col]], maxlen=w) if finite_x else deque(maxle"
cleaned_operators/alpha_language_state.py,311,"deque",STATE_HISTORY,"e([xv[row, col]], maxlen=w) if finite_x else deque(maxlen=w)                     run_len = 1 if finite_x "
cleaned_operators/alpha_language_state.py,369,"deque",STATE_HISTORY,"and absolute sums are computed from the same deque.             buf: deque[float] = deque(maxlen=w)      "
cleaned_operators/alpha_language_state.py,370,"deque",STATE_HISTORY,"mputed from the same deque.             buf: deque[float] = deque(maxlen=w)             run_len = 0      "
cleaned_operators/alpha_language_state.py,370,"deque",STATE_HISTORY," same deque.             buf: deque[float] = deque(maxlen=w)             run_len = 0             prev_sta"
cleaned_operators/alpha_language_state.py,397,"deque",STATE_HISTORY,"             else:                     buf = deque([xv[row, col]], maxlen=w)                     run_len "
cleaned_operators/alpha_language_state.py,447,"deque",STATE_HISTORY,"`` rows of the run (P0-28).             buf: deque[float] = deque(maxlen=w)             run_len = 0      "
cleaned_operators/alpha_language_state.py,447,"deque",STATE_HISTORY,"run (P0-28).             buf: deque[float] = deque(maxlen=w)             run_len = 0             prev_sta"
cleaned_operators/alpha_language_state.py,473,"deque",STATE_HISTORY,"             else:                     buf = deque([xv[row, col]], maxlen=w)                     run_len "
cleaned_operators/alpha_language_state.py,637,"deque",STATE_HISTORY,"ls):             # The kernel's contribution deque keeps only the latest ``max_run``             # contri"
cleaned_operators/alpha_language_volatility.py,121,"np.log",DOMAIN,"v, wi, lambda c: _std(c, mp))         logv = np.log(inner + _EPS)         outer = map_rolling(logv, wo, l"
cleaned_operators/alpha_language_volatility.py,164,"np.log",DOMAIN,"ntinue                 out[row, col] = float(np.log(v[row, col] / v[row - la, col]))         return frame"
cleaned_operators/alpha_language_volatility.py,207,"np.log",DOMAIN,"ntinue                 out[row, col] = float(np.log(short[row, col] / longv[row, col]))         return fr"
cleaned_operators/ashare/limit_ops.py,98,"astype(float)",UNKNOWN_TO_ZERO,"     return (high >= upper_limit - tolerance).astype(float).where(valid)   @register_operator(     name=""
cleaned_operators/ashare/limit_ops.py,122,"astype(float)",UNKNOWN_TO_ZERO,"      return (low <= lower_limit + tolerance).astype(float).where(valid)   @register_operator(     name=""
cleaned_operators/ashare/limit_ops.py,177,"astype(float)",UNKNOWN_TO_ZERO,"e must be 'up' or 'down'")         return out.astype(float).where(valid)   @register_operator(     name=""
cleaned_operators/ashare/limit_ops.py,203,"astype(float)",UNKNOWN_TO_ZERO," - tolerance         return (touched & ~held).astype(float).where(valid)   @register_operator(     name=""
cleaned_operators/ashare/limit_ops.py,227,"astype(float)",UNKNOWN_TO_ZERO,"  return (open_px >= upper_limit - tolerance).astype(float).where(valid)   @register_operator(     name=""
cleaned_operators/ashare/limit_ops.py,253,"astype(float)",UNKNOWN_TO_ZERO,"ance         return (opened_at_limit & broke).astype(float).where(valid) "
cleaned_operators/ashare/ops.py,78,"astype(float)",UNKNOWN_TO_ZERO,"    return (close >= upper_limit - tolerance).astype(float).where(valid)   @register_operator(name="limit"
cleaned_operators/ashare/ops.py,95,"astype(float)",UNKNOWN_TO_ZERO,"    return (close <= lower_limit + tolerance).astype(float).where(valid)   @register_operator(name="limit"
cleaned_operators/ashare/ops.py,110,"astype(float)",UNKNOWN_TO_ZERO," <= 0) & (limit_down <= 0)         return out.astype(float).where(valid)   @register_operator(name="bench"
cleaned_operators/ashare/state_machine.py,270,"np.nansum",MISSING_TOPOLOGY,"      continue             out[r, c] = float(np.nansum(chunk))     return out   @register_operator(     n"
cleaned_operators/ashare/state_machine.py,457,"np.nansum",MISSING_TOPOLOGY,"      continue                 count = float(np.nansum(np.where(known, ev[lo : r + 1, c], 0.0)))         "
cleaned_operators/ashare/state_machine.py,494,"np.nansum",MISSING_TOPOLOGY,"   continue                 up_count = float(np.nansum(np.where(known & (u_chunk != 0), u_chunk, 0.0)))  "
cleaned_operators/ashare/state_machine.py,495,"np.nansum",MISSING_TOPOLOGY,"k, 0.0)))                 down_count = float(np.nansum(np.where(known & (d_chunk != 0), d_chunk, 0.0)))  "
cleaned_operators/base.py,90,"ffill",STATE_HISTORY,"er"     # NEW-002/258: missing-value policy (ffill gap, carry, drop, coverage     # floor).  Never a sear"
cleaned_operators/base.py,1565,"index.normalize",TIME_CLOCK,"dx: Any):         try:             return idx.normalize()         except (TypeError, ValueError):        "
cleaned_operators/base.py,1625,"index.normalize",TIME_CLOCK,"-closed)"         )     base_dates = base_idx.normalize()     base_cols = list(base.columns)     for posi"
cleaned_operators/base.py,1635,"index.normalize",TIME_CLOCK,"            )         other_dates = other_idx.normalize()         for spec in specs:             if spec."
cleaned_operators/base_polars.py,481,"np.argsort",TIE_POLICY,"ues = np.array(valid_values)         order = np.argsort(valid_values)         ranks = np.argsort(order) +"
cleaned_operators/base_polars.py,482,"np.argsort",TIE_POLICY,"r = np.argsort(valid_values)         ranks = np.argsort(order) + 1  # 1-based rank          # 归一化到 0-1   "
cleaned_operators/base_polars.py,628,"index.normalize",TIME_CLOCK,"ference kernel (session/day grouping, ``index.normalize()``)     # sees the real time axis instead of a p"
cleaned_operators/binned_response.py,72,"np.argsort",TIE_POLICY,"the mean rank."""     n = v.size     order = np.argsort(v, kind="stable")     ranks = np.empty(n, dtype=f"
cleaned_operators/binned_response.py,97,"searchsorted",NEEDS_MANUAL_REVIEW,"ce(0.0, 1.0, bins + 1)[1:-1])     bucket = np.searchsorted(cuts, xv, side="right")     return np.clip(buc"
cleaned_operators/binned_response.py,218,"np.argsort",TIE_POLICY,"n masks.     """     n = xv.size     order = np.argsort(xv, kind="stable")     k = int(np.floor(qq * n + "
cleaned_operators/candle_state_space.py,85,"astype(float)",UNKNOWN_TO_ZERO,"st), axis=1)             valid = hist[finite].astype(float)             if valid.shape[0] == 0:          "
cleaned_operators/candle_state_space.py,88,"astype(float)",UNKNOWN_TO_ZERO,"                 continue             z = cur.astype(float)             # R6-147: a feature constant over"
cleaned_operators/candle_state_space.py,112,"np.nan_to_num",UNKNOWN_TO_ZERO,"id, rowvar=False, ddof=1))             cov = np.nan_to_num(cov, nan=0.0, posinf=0.0, neginf=0.0)         "
cleaned_operators/candle_state_space.py,146,"astype(float)",UNKNOWN_TO_ZERO,"st), axis=1)             valid = hist[finite].astype(float)             if valid.shape[0] < kk:          "
cleaned_operators/candle_state_space.py,175,"np.log",DOMAIN,"   # outlier.             out[r, c] = -float(np.log(max(rk, 1e-3)))     return out   def _z_normalize(sub"
cleaned_operators/closure_audit.py,828,"astype(float)",UNKNOWN_TO_ZERO,"om((_USABILITY_ROWS, _USABILITY_COLS)) > 0.5).astype(float)         elif unit in {"group", "group_id", "c"
cleaned_operators/closure_audit.py,870,"np.nanmean",MISSING_TOPOLOGY,"= np.nanstd(tail, axis=0)     per_col_mean = np.nanmean(tail, axis=0)     denom = np.where(np.abs(per_col"
cleaned_operators/common/_polars_bridge.py,487,"index.normalize",TIME_CLOCK,"dex-aware — session/day grouping,     ``index.normalize()``, calendar differences, intraday aggregation, "
cleaned_operators/common/cross_sectional.py,271,"dropna",GAP_COMPRESSION,"aN）。             for group_val in group_slice.dropna().unique():                 mask = (group_slice == g"
cleaned_operators/common/cross_sectional.py,464,"astype(float)",UNKNOWN_TO_ZERO,"1:                 yv = y_slice[valid].values.astype(float)                 xv = x_slice[valid].values.as"
cleaned_operators/common/cross_sectional.py,465,"astype(float)",UNKNOWN_TO_ZERO,"t)                 xv = x_slice[valid].values.astype(float)                 xv_mean = xv.mean()          "
cleaned_operators/common/cross_sectional.py,504,"astype(float)",UNKNOWN_TO_ZERO,"1:                 yv = y_slice[valid].values.astype(float)                 xv = x_slice[valid].values.as"
cleaned_operators/common/cross_sectional.py,505,"astype(float)",UNKNOWN_TO_ZERO,"t)                 xv = x_slice[valid].values.astype(float)                 corr_val = np.corrcoef(xv, yv"
cleaned_operators/common/cross_sectional.py,1181,"np.nanmean",MISSING_TOPOLOGY,".any(mask):                     group_mean = np.nanmean(row_data[mask])                     result_arr[ro"
cleaned_operators/common/daily_panel.py,137,"astype(float)",UNKNOWN_TO_ZERO,"h = valid & condition.ne(0)     count = truth.astype(float).rolling(w, min_periods=1).sum()     valid_cou"
cleaned_operators/common/daily_panel.py,138,"astype(float)",UNKNOWN_TO_ZERO," min_periods=1).sum()     valid_count = valid.astype(float).rolling(w, min_periods=1).sum()     return co"
cleaned_operators/common/daily_panel.py,156,"astype(float)",UNKNOWN_TO_ZERO,"sked = x.where(selected)     count = selected.astype(float).rolling(w, min_periods=1).sum()     if op == "
cleaned_operators/common/data_cleaning.py,7,"ffill",STATE_HISTORY,"理、截断与保护性窗口算子。  语义 ---- - **填充**：``fillna``、``ffill``、``bfill``、``coalesce`` — 处理 NaN/空值； - **检测**：``is_na"
cleaned_operators/common/data_cleaning.py,7,"bfill",STATE_HISTORY,"算子。  语义 ---- - **填充**：``fillna``、``ffill``、``bfill``、``coalesce`` — 处理 NaN/空值； - **检测**：``is_nan``、``is_f"
cleaned_operators/common/data_cleaning.py,32,"ffill",STATE_HISTORY,".)`` must be rewritten onto the single gated ffill # implementation so the ``forward_fill_allowed`` / ``m"
cleaned_operators/common/data_cleaning.py,35,"ffill",STATE_HISTORY,"illna``. _FFILL_METHOD_ALIASES = frozenset({"ffill", "pad", "forward_fill"})  # Single source of truth fo"
cleaned_operators/common/data_cleaning.py,40,"ffill",STATE_HISTORY,"fail-closed).  The # defaults live here so ``ffill`` and ``fillna(method="ffill")`` share one # contract."
cleaned_operators/common/data_cleaning.py,40,"ffill",STATE_HISTORY," live here so ``ffill`` and ``fillna(method="ffill")`` share one # contract.  TODO(r13): derive from ``Fi"
cleaned_operators/common/data_cleaning.py,55,"ffill",STATE_HISTORY,"ward-fill implementation (R13 P1-12).      ``ffill`` and ``fillna(method="ffill"/"pad"/"forward_fill")`` "
cleaned_operators/common/data_cleaning.py,55,"ffill",STATE_HISTORY," P1-12).      ``ffill`` and ``fillna(method="ffill"/"pad"/"forward_fill")`` both land here     so the gat"
cleaned_operators/common/data_cleaning.py,62,"ffill",STATE_HISTORY,"_ffill_gap)     if gap > 0:         return x.ffill(limit=gap)     return x.ffill()   # canonical=dropna b"
cleaned_operators/common/data_cleaning.py,63,"ffill",STATE_HISTORY,"      return x.ffill(limit=gap)     return x.ffill()   # canonical=dropna backend=pandas_numpy selected=d"
cleaned_operators/common/data_cleaning.py,82,"dropna",GAP_COMPRESSION,", **kwargs) -> pd.DataFrame:         return x.dropna()    # canonical=ewm backend=pandas_numpy selected=e"
cleaned_operators/common/data_cleaning.py,345,"ffill",STATE_HISTORY,"  return x.apply(_per_column)    # canonical=ffill backend=pandas_numpy selected=ffill source=data_handli"
cleaned_operators/common/data_cleaning.py,345,"ffill",STATE_HISTORY,"anonical=ffill backend=pandas_numpy selected=ffill source=data_handling/missing_values.py @register_opera"
cleaned_operators/common/data_cleaning.py,346,"ffill",STATE_HISTORY,"g/missing_values.py @register_operator(name="ffill", category="data_handling", business_category="data_cl"
cleaned_operators/common/data_cleaning.py,346,"ffill",STATE_HISTORY,"usiness_category="data_cleaning", canonical="ffill", source="factor_dsl_np") class FillForward(SeriesOper"
cleaned_operators/common/data_cleaning.py,351,"ffill",STATE_HISTORY,"  metadata = OperatorMetadata(         name="ffill",         category="data_handling",         descriptio"
cleaned_operators/common/data_cleaning.py,354,"ffill",STATE_HISTORY,"x_ffill_gap 限制最大跨 bar 数",         examples=["ffill(close)"],         param_names=["x", "forward_fill_allo"
cleaned_operators/common/data_cleaning.py,372,"ffill",STATE_HISTORY,"ingle implementation path — ``fillna(method="ffill")``         # delegates here so the gate cannot be byp"
cleaned_operators/common/data_cleaning.py,392,"ffill",STATE_HISTORY,"on="缺失值填充（method: 'mean', 'median', 'zero', 'ffill'）",         examples=["fillna(close, 'mean')", "fillna"
cleaned_operators/common/data_cleaning.py,404,"ffill",STATE_HISTORY,"st go through the             # single gated ffill implementation so ``forward_fill_allowed`` /          "
cleaned_operators/common/data_cleaning.py,406,"ffill",STATE_HISTORY,"anch called             # ``x.fillna(method='ffill')`` directly and bypassed the gate.             return"
cleaned_operators/common/data_cleaning.py,421,"fillna(0)",UNKNOWN_TO_ZERO,"  elif method == 'zero':             return x.fillna(0)         elif method == 'bfill':             raise"
cleaned_operators/common/data_cleaning.py,422,"bfill",STATE_HISTORY,"  return x.fillna(0)         elif method == 'bfill':             raise ValueError("fillna(method='bfill')"
cleaned_operators/common/data_cleaning.py,423,"bfill",STATE_HISTORY,"            raise ValueError("fillna(method='bfill') was removed because it is not point-in-time safe")  "
cleaned_operators/common/data_cleaning.py,430,"ffill",STATE_HISTORY,"     "(supported: 'mean', 'median', 'zero', 'ffill' or a constant value)"             )  # aliases: FillN"
cleaned_operators/common/data_cleaning.py,537,"astype(float)",UNKNOWN_TO_ZERO,"rgs) -> pd.DataFrame:         return x.isna().astype(float)   # canonical=is_not_null backend=pandas_nump"
cleaned_operators/common/data_cleaning.py,556,"astype(float)",UNKNOWN_TO_ZERO,"gs) -> pd.DataFrame:         return x.notna().astype(float)   # canonical=is_infinite backend=pandas_nump"
cleaned_operators/common/data_cleaning.py,598,"np.nan_to_num",UNKNOWN_TO_ZERO,"mpy(dtype=float, copy=True)         filled = np.nan_to_num(arr, nan=num, posinf=num, neginf=num)         "
cleaned_operators/common/data_cleaning.py,832,"clip(lower=0)",UNDEFINED_TO_ZERO,"(self, x, **kwargs):         return np.sqrt(x.clip(lower=0)) "
cleaned_operators/common/elementwise.py,86,"astype(float)",UNKNOWN_TO_ZERO,"ate 抑制 numpy RuntimeWarning。         base = x.astype(float)         in_domain = base.abs() <= 1.0        "
cleaned_operators/common/elementwise.py,133,"astype(float)",UNKNOWN_TO_ZERO,"ate 抑制 numpy RuntimeWarning。         base = x.astype(float)         in_domain = base.abs() <= 1.0        "
cleaned_operators/common/elementwise.py,160,"astype(float)",UNKNOWN_TO_ZERO,", **kwargs) -> pd.DataFrame:         base = x.astype(float)         in_domain = base.abs() <= 1.0        "
cleaned_operators/common/elementwise.py,183,"astype(float)",UNKNOWN_TO_ZERO,", **kwargs) -> pd.DataFrame:         base = x.astype(float)         in_domain = base.abs() <= 1.0        "
cleaned_operators/common/elementwise.py,408,"astype(float)",UNKNOWN_TO_ZERO,"s) -> pd.DataFrame:         x_vals = x.values.astype(float)         y_vals = y.values.astype(float)      "
cleaned_operators/common/elementwise.py,409,"astype(float)",UNKNOWN_TO_ZERO,"alues.astype(float)         y_vals = y.values.astype(float)         result = np.full(x_vals.shape, np.nan"
