canonical,module,final_status,q1_input_grain,q2_ashare_default,accepted_flow_semantics,flow_slot_a,flow_slot_b,timeframe_requirement,knowledge_clock,revision_clock,left_censor_policy,blockers
fin_diff,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_discontinued_operation_ratio,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_divergence,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_earnings_cash_gap_volatility,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:SinglePeriodFlow,,,,field knowledge column,n/a,n/a,
fin_earnings_persistence,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:SinglePeriodFlow,,,,field knowledge column,n/a,n/a,
fin_earnings_smoothness,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:SinglePeriodFlow,,,,field knowledge column,n/a,n/a,
fin_equity_capital_growth,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:Stock,,,,field knowledge column,n/a,n/a,
fin_expectation_dispersion,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_expectation_revision,,CERTIFIED_CONTEXTUAL,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,PIT18_REVISION_EVENT_UNPROVEN
fin_expectation_revision_count,,CERTIFIED_CONTEXTUAL,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,PIT18_REVISION_EVENT_UNPROVEN
fin_expectation_revision_magnitude,,CERTIFIED_CONTEXTUAL,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,PIT18_REVISION_EVENT_UNPROVEN
fin_expectation_revision_pct,,CERTIFIED_CONTEXTUAL,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,PIT18_REVISION_EVENT_UNPROVEN
fin_expectation_revision_speed,,CERTIFIED_CONTEXTUAL,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,PIT18_REVISION_EVENT_UNPROVEN
fin_expense_sales_divergence,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,flow_slot_a:Stock,flow_slot_b:SinglePeriodFlow,,field knowledge column,n/a,n/a,
fin_fair_value_income_dependence,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_financing_gap,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:SinglePeriodFlow,,,,field knowledge column,n/a,n/a,
fin_fundamental_strength_coverage,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:SinglePeriodFlow,,,,field knowledge column,n/a,n/a,
fin_fundamental_strength_score,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:SinglePeriodFlow,,,,field knowledge column,n/a,n/a,
fin_goodwill_intensity,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_goodwill_risk_score,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:Stock,,,,field knowledge column,n/a,n/a,
fin_growth,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:SinglePeriodFlow,,,,field knowledge column,n/a,n/a,
fin_growth_acceleration,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:SinglePeriodFlow,,,,field knowledge column,n/a,n/a,
fin_growth_change,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:SinglePeriodFlow,,,,field knowledge column,n/a,n/a,
fin_growth_persistence,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:SinglePeriodFlow,,,,field knowledge column,n/a,n/a,
fin_growth_stability,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:SinglePeriodFlow,,,,field knowledge column,n/a,n/a,
fin_growth_volatility,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:SinglePeriodFlow,,,,field knowledge column,n/a,n/a,
fin_impairment_intensity,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_interest_coverage_proxy,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_inventory_sales_divergence,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,flow_slot_a:Stock,flow_slot_b:SinglePeriodFlow,,field knowledge column,n/a,n/a,
fin_investment_income_dependence,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_lag,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_lease_asset_liability_gap,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_lease_intensity,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_log_change,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:SinglePeriodFlow,,,,field knowledge column,n/a,n/a,
fin_mad,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_margin_persistence,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:SinglePeriodFlow,,,,field knowledge column,n/a,n/a,
fin_mean_abs_deviation,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_median_abs_deviation,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_minority_profit_share,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_miss_streak,,CERTIFIED_CONTEXTUAL,UNKNOWN,see binding,not-declared,,,,PubDate/filing_date (DATE_ONLY_NEXT_SESSION),n/a,n/a,PIT11_EXPECTATION_POST_EVENT_LEAK
fin_monotonicity,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_negative_streak,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_net_borrowing_cashflow,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:SinglePeriodFlow,,,,field knowledge column,n/a,n/a,
fin_net_debt_issuance,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:Stock,,,,field knowledge column,n/a,n/a,
fin_noncore_income_ratio,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_oci_to_equity,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_other_earnings_dependence,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_pct_change,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:SinglePeriodFlow,,,,field knowledge column,n/a,n/a,
fin_percentile_history,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_percentile_vs_prior_history,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_period_restated,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_period_revision_age,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_period_revision_count,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_positive_streak,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_qoq,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:SinglePeriodFlow,,,,field knowledge column,n/a,n/a,
fin_quarter_from_cumulative,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_range,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_ratio,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_rd_capitalization_ratio,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_rd_total_intensity,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_receivable_sales_divergence,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,flow_slot_a:Stock,flow_slot_b:SinglePeriodFlow,,field knowledge column,n/a,n/a,
fin_restated_flag,,CERTIFIED_CONTEXTUAL,UNKNOWN,see binding,not-declared,,,,field knowledge column,requires:RevisionEventSource,n/a,PIT18_REVISION_EVENT_UNPROVEN
fin_revision_count,,CERTIFIED_CONTEXTUAL,UNKNOWN,see binding,not-declared,,,,field knowledge column,requires:RevisionEventSource,n/a,PIT18_REVISION_EVENT_UNPROVEN
fin_revision_delta,,CERTIFIED_CONTEXTUAL,UNKNOWN,see binding,not-declared,,,,field knowledge column,requires:RevisionEventSource,n/a,PIT18_REVISION_EVENT_UNPROVEN
fin_revision_direction,,CERTIFIED_CONTEXTUAL,UNKNOWN,see binding,not-declared,,,,field knowledge column,requires:RevisionEventSource,n/a,PIT18_REVISION_EVENT_UNPROVEN
fin_revision_magnitude,,CERTIFIED_CONTEXTUAL,UNKNOWN,see binding,not-declared,,,,field knowledge column,requires:RevisionEventSource,n/a,PIT18_REVISION_EVENT_UNPROVEN
fin_revision_pct,,CERTIFIED_CONTEXTUAL,UNKNOWN,see binding,not-declared,,,,field knowledge column,requires:RevisionEventSource,n/a,PIT18_REVISION_EVENT_UNPROVEN
fin_roe_cash_gap,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:SinglePeriodFlow,,,,field knowledge column,n/a,n/a,
fin_seasonal_percentile,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_seasonal_zscore,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_sign_change_count,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_stability,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_staleness,,CERTIFIED_CONTEXTUAL,UNKNOWN,see binding,not-declared,,,,field knowledge column,requires:RevisionEventSource,left-censored first observation,PIT18_REVISION_EVENT_UNPROVEN
fin_std,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_surprise,,CERTIFIED_CONTEXTUAL,UNKNOWN,see binding,not-declared,,,,PubDate/filing_date (DATE_ONLY_NEXT_SESSION),n/a,n/a,PIT11_EXPECTATION_POST_EVENT_LEAK
fin_surprise_event_percentile,,CERTIFIED_CONTEXTUAL,UNKNOWN,see binding,not-declared,,,,PubDate/filing_date (DATE_ONLY_NEXT_SESSION),n/a,n/a,PIT11_EXPECTATION_POST_EVENT_LEAK
fin_surprise_event_zscore,,CERTIFIED_CONTEXTUAL,UNKNOWN,see binding,not-declared,,,,PubDate/filing_date (DATE_ONLY_NEXT_SESSION),n/a,n/a,PIT11_EXPECTATION_POST_EVENT_LEAK
fin_surprise_zscore,,CERTIFIED_CONTEXTUAL,UNKNOWN,see binding,not-declared,,,,PubDate/filing_date (DATE_ONLY_NEXT_SESSION),n/a,n/a,PIT11_EXPECTATION_POST_EVENT_LEAK
fin_trend_acceleration,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_trend_r2,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_trend_slope,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_trend_tstat,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_ttm_cumulative,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_ttm_quarterly,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_turnover,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_working_capital_accruals,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:Stock,,,,field knowledge column,n/a,n/a,
fin_working_capital_change,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_yoy,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:SinglePeriodFlow,,,,field knowledge column,n/a,n/a,
fin_zscore_history,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_zscore_vs_prior_history,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fiscal_accrual_quality,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fiscal_ar_resid_std,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fiscal_asymmetric_elasticity,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fiscal_autocorr,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fiscal_change_direction_agreement,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fiscal_direction_consistency,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fiscal_pair_direction_agreement,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fiscal_perpetual_inventory,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fiscal_regression_resid_std,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fiscal_reversal_ratio,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fiscal_sign_agreement,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fiscal_sign_consistency,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fiscal_standardized_surprise,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fiscal_true_streak,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fundamental_staleness,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,left-censored first observation,
period_average,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
period_cagr,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
period_change,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
period_lag,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
period_stability,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
piotroski_f_score,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:SinglePeriodFlow,,,,field knowledge column,n/a,n/a,
piotroski_f_score_tolerant,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:SinglePeriodFlow,,,,field knowledge column,n/a,n/a,
piotroski_observed_count,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:SinglePeriodFlow,,,,field knowledge column,n/a,n/a,
piotroski_partial_score,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:SinglePeriodFlow,,,,field knowledge column,n/a,n/a,
quarter_from_cumulative,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
report_change_breadth,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
report_change_coherence,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
report_filing_delay_surprise,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
report_revision_magnitude,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
report_rolling_mean,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
report_yoy_lag,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
revision_delta,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
ttm_from_cumulative,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
ttm_from_quarterly,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
yoy_by_period,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
zmijewski_score,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
