canonical,math_definition,reference_impl,semantic_hash,axis_semantics,sample_validity,missing_topology,current_row_requirement,tie_policy,ddof,quantile_interpolation,zero_denominator,zero_std,domain_policy,partial_window_policy,minimum_effective_sample,history_kind,history_formula,anchor_policy,parameter_binding_complete,hidden_kwargs,local_casts,sample_mask_policy,semantic_policy_disagreements,source_provenance,reference_smoke_pass,numba_native_pass,polars_native_pass,duckdb_native_pass,fallback_pass,native_used,fallback_used,prefix_invariance,chunk_invariance,column_permutation,metamorphic_properties,metamorphic_passed,math_defect,semantic_drift,fix_action,blockers
PVO_signal,PVO signal line.,pandas/numpy,284f4d68430dd98b74d5642e1aa1e50233eac0c5705b7ce928dc1c99481012ce,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
RSI_WILDER,共享 Wilder 平滑内核的 RSI,pandas/numpy,b9fbede2ed768a59b75cd7de054d80e3e460fc187b9a074a6d0d219474959b4c,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
Supertrend,Recursive Supertrend level.,pandas/numpy,b7cfd098a7f911846eecf7bc7de4c9ab3f1c5e8ba9aeaa27b5fc654b11b528c8,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
SupertrendDirection,Recursive Supertrend direction (+1/-1).,pandas/numpy,b7cfd098a7f911846eecf7bc7de4c9ab3f1c5e8ba9aeaa27b5fc654b11b528c8,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
TEMA,Triple exponential moving average.,pandas/numpy,938d1f58f173e8095aee3b803a4a20b14b4bc44fcdf3bd0c68611a2c0f13b1d4,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
TSI,True Strength Index with explicit smoothing windows.,pandas/numpy,831e8e5aaaf69f13589efb23df653680d89ac2b20a941b2b41a7684c54ed9023,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
TSI_signal,Signal line of TSI.,pandas/numpy,c4b04063c2429236781375f18cb5926f27ea8c328bb707a92fbf4891b5b3a3f0,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
UltimateOscillator,Ultimate oscillator with explicit windows and weights.,pandas/numpy,1e39f0e747a494186a77a877d002eb9060f42bac08467c84dbc0eb47854f8251,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
VortexMinus,Negative Vortex indicator.,pandas/numpy,516e76a5104cc2349d1bd4e9c173e65ca67ff8c79daecf6a5124dafdda189ce2,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
VortexPlus,Positive Vortex indicator.,pandas/numpy,516e76a5104cc2349d1bd4e9c173e65ca67ff8c79daecf6a5124dafdda189ce2,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
a_share_cap_ratio,A 股股本 / 总股本。,pandas/numpy,49d3da157f6e5dece4e087bdae6ecc4d82c0cfb368bb3f15ef358433b80a4f5d,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
abnormal_turnover,Current turnover versus prior rolling mean.,pandas/numpy,71358349761127b6a73de43cc722c8ef8a9f898a74d52aaf183eb581f6599f2c,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
abnormal_volume,Current volume versus prior rolling mean.,pandas/numpy,6370a2083ee6c7664fc3989352d1d6490ef87275aea85ae5e5bb5b86715eff5b,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
abs,计算绝对值,pandas/numpy,6c502e95345d6ef3f3b72e0dd50747a6b4561958fb370e932c4daceb1823dddc,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
abs_return_volume_corr,Rolling absolute-return/volume correlation.,pandas/numpy,35973f71f6d9fceb7e49b2c12e69b1e796e39fafc5df1271eaa740ef656c5145,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
acos,"计算反余弦值（返回弧度；定义域 [-1,1]，越界 → NaN）",pandas/numpy,198d3e359912100c08a68f84a18a953b2643de2011d9a43557a646de173c23a3,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
acos_bounded,"反余弦角（定义域 [-1,1]，越界 → NaN；仅允许 correlation / bounded ratio / normalized state 输入）",pandas/numpy,83fb63b31f5eafc95183754bf9aed887f3785f69999441e7b09bbf0d8de83ca3,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
add,Basic runtime operator,pandas/numpy,de30fb24c772301dd604af946086a30407310a973efb482cbd6919dd0a7a38cf,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
adv,Average dollar volume.,pandas/numpy,e8edf181571ea1711146ef918f708f66183e1f8ccfbc924056303c65adecca60,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
altman_z_score,Altman Z-score（非金融企业版；适用域=非金融，适用性掩码为必填，#55）。输入=资产负债表存量/损益流量字段（round-3 item 30）。,pandas/numpy,b09ed305bc104a47315e79438fc4094c79a74c3775587ac4e23d4542d4a39174,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
amihud_illiquidity,Rolling Amihud illiquidity proxy.,pandas/numpy,c2e4c8947faa4d5fa710064705b6af3c1d722f1b39636e9611a1b4d67a6b1dfb,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
and_,Basic runtime operator,pandas/numpy,e48fd1e25face9405e45d74cf389882e482991906972eb1cc61d6fe9132f6d14,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
arg,复数相位（弧度）,pandas/numpy,5c6b3646c95437e153df8e5927e088387739c2569bc0e00fbcbfede9e2acd0cc,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,True,False,True,,,,,,,,,
ashare_days_since_limit_down,距最近跌停天数（缺失打断）。,pandas/numpy,0dec6830c63c11cf4f51c231f8a837d1ace4f44cebcec51a8c2c0d1ffb9543ae,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,max_lookback->int,,,inspect,,,,,,True,,,,,,,,,,M08_LOCAL_PARAMETER_COERCION
ashare_days_since_limit_up,距最近涨停天数（缺失打断）。,pandas/numpy,b1ef5ae83441b30200603076043620b8c60a379e5e5d874c66b593c616a8b1e7,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,max_lookback->int,,,inspect,,,,,,True,,,,,,,,,,M08_LOCAL_PARAMETER_COERCION
ashare_failed_limit_count,窗口内触及未封住的天数（side='up'/'down'）。,pandas/numpy,bbf83927e3cc048159ee139251a7cbc950f7c0961337b3c255665cfbf1fd19a7,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,side->str,isfinite,,inspect,,,,,,True,,,,,,,,,,M08_LOCAL_PARAMETER_COERCION
ashare_limit_asymmetry,涨停密度减跌停密度。,pandas/numpy,4d1983170e98678c48a7b26f6c04e6b3683f1e40ff5901648569a901237230d7,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,isfinite,,inspect,,,,,,True,,,,,,,,,,
ashare_limit_distance,收盘价相对涨停价的距离 close/upper_limit - 1。,pandas/numpy,8708a3b5934047f300f3bf3fc3390ca7fe780bc8a74501386a0b648fc7b64d43,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
ashare_limit_down_streak,连续收盘跌停天数。,pandas/numpy,1305cd57850b712225338ff8a885d5705b444c1f4a51c485e76b7c0847f14fe2,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,isfinite,,inspect,,,,,,True,,,,,,,,,,
ashare_limit_down_touch,日内最低价触及跌停价。,pandas/numpy,eb5e592662161f07700e8f20820f67cd073b55f14c44edf54deafd659cf2b136,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,notna,,inspect,,,,,,True,,,,,,,,,,
ashare_limit_down_volume_ratio,跌停日均量相对窗口日均量。,pandas/numpy,8f2b1243b41a162773776d83e552397c84f31e6ac74c660e7c2cc345b113207f,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
ashare_limit_event_density,窗口内事件密度（除以已知状态日数）。,pandas/numpy,78fe77d3f570c9c312e91608b62e6e57f15d6d65e5a426f83f09c0cf9fdb2e4a,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,isfinite,,inspect,,,,,,True,,,,,,,,,,
ashare_limit_failed,当日触及涨停但收盘未封住。,pandas/numpy,f20e68137cb5e3c61bec1c6af8f53c8010de6e2da80b916a0f7866b31f0c0fc1,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,notna,,inspect,,,,,,True,,,,,,,,,,
ashare_limit_one_price,一字板：OHLC 全部处于同一涨跌停价。,pandas/numpy,6c2eb91e02ef19d246a27bcfb2b99fbb74d500e2171ba94d4853c1d47287a29a,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,side->str,notna,,inspect,,,,,,True,,,,,,,,,,M08_LOCAL_PARAMETER_COERCION
ashare_limit_open_down_streak,连续开盘跌停天数。,pandas/numpy,5f1da45b39119d2fa6fad19c58d7994655ce4eac02c95fa913d77f3155b8cd57,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,isfinite,,inspect,,,,,,True,,,,,,,,,,
ashare_limit_open_failed,开盘涨停后盘中开板（low 跌破涨停价）。,pandas/numpy,917fc416012e51b06dc6ee7d39d5e27a20b74c4fd4500a9f399c9d68b605cc03,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,notna,,inspect,,,,,,True,,,,,,,,,,
ashare_limit_open_up_streak,连续开盘涨停天数。,pandas/numpy,b74b64de11387c28e1cf18a24b2115a4fbb665c2a40857c48d97f235639ae3a3,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
ashare_limit_touch_count,窗口内触及涨跌停天数（side='up'/'down'）。,pandas/numpy,635971cd9d1a893201291bd0cdb145c0b03a242f56a6a6b97f12c9720bc471b9,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,side->str,isfinite,,inspect,,,,,,True,,,,,,,,,,M08_LOCAL_PARAMETER_COERCION
ashare_limit_up_streak,连续收盘涨停天数。,pandas/numpy,10fadb2b1c5d7075a1bc422516f87bb9bb4b4c0a8e5bd50da6b14300744bcd3d,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,isfinite,,inspect,,,,,,True,,,,,,,,,,
ashare_limit_up_touch,日内最高价触及涨停价。,pandas/numpy,52e6cef7bfb1fe1e8df298189399838266782b5f23c113c87667786eb8b3e605,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,notna,,inspect,,,,,,True,,,,,,,,,,
ashare_limit_up_volume_ratio,涨停日均量相对窗口日均量。,pandas/numpy,99c8b182e57b1c1751c7b81714b05c9cf7aea1227ee4bd88aa8a39e4a953d1b0,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
ashare_one_price_limit_streak,连续一字板天数（side='up'/'down'）。,pandas/numpy,e4120a48f614743b69556404cbc99b694a0c7cd2be5193f94ca9fd61b41c5f64,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,side->str,,,inspect,,,,,,True,,,,,,,,,,M08_LOCAL_PARAMETER_COERCION
ashare_open_at_upper_limit,开盘达到涨停价。,pandas/numpy,2296eeacbd67e6dc41239012ac60c03b5927274ce9b2b368c686b4139399cd2a,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,notna,,inspect,,,,,,True,,,,,,,,,,
ashare_suspension_episode_length,当前停牌连续长度。,pandas/numpy,581f540c2dac7407f3f8d5a7b912b6f3633b6f583156fd167c8c554938af7587,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
asin,"计算反正弦值（返回弧度；定义域 [-1,1]，越界 → NaN）",pandas/numpy,c36ca818c8d709f88649e1459517cebf4e2d1383c9ea4fc9d4b85b7fd2c5ee0b,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
asin_bounded,"反余弦角（定义域 [-1,1]，越界 → NaN；仅允许 correlation / bounded ratio / normalized state 输入）",pandas/numpy,982c969f7e6b0645fdae7365c14f9fd5d68732608f48309991259f7f69e4b1a3,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
atan,计算反正切值（返回弧度）,pandas/numpy,256adbbff5d718751add1e04c6db061e111cfc0b939a5263a6151c9a07e377b8,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
atan2,"计算坐标(y,x)的反正切值",pandas/numpy,25070bc7017a249baa0f6aec67b0281ede94c65ebb6ebe4855a2b38dc7e98a29,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
average_turnover,Rolling average turnover/activity.,pandas/numpy,71358349761127b6a73de43cc722c8ef8a9f898a74d52aaf183eb581f6599f2c,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
baseline_scaled_wasserstein_distance,两日内分布 W1 距离，按基准序列同日 MAD 缩放（baseline-scaled，非对称）。,pandas/numpy,f5c154674f50af4693f00dbd6d4286a0232cd79e16920c73717dc1b9e4da2331,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
benchmark_excess_return,个股收益减基准收益。,pandas/numpy,ca750fdd1ca4798fd3d45e6ec022864b0a62ca18611b50178b14b94862341043,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
benchmark_relative_price,个股价格相对基准点位。,pandas/numpy,f608048e660659d329c94101e87a66803fabae4bbdd268ae876ddc8749337e45,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
bollinger_pct_b,Bollinger percent-B.,pandas/numpy,334342434cddc36a99a23e3f04883a63348137634010b4b23384063831be945f,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
bollinger_width,Normalized Bollinger bandwidth.,pandas/numpy,334342434cddc36a99a23e3f04883a63348137634010b4b23384063831be945f,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
book_to_price,账面市值比：1 / PB；非正 PB 视为无效。,pandas/numpy,1e6aebcb1851110f163dfb527e0d4eaafbfe9f80f98a1ca14c205c8a2f6093a6,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
bounded_nvi,Bounded Negative Volume Index return over explicit history.,pandas/numpy,e8edf181571ea1711146ef918f708f66183e1f8ccfbc924056303c65adecca60,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
bounded_pvi,Bounded Positive Volume Index return over explicit history.,pandas/numpy,e8edf181571ea1711146ef918f708f66183e1f8ccfbc924056303c65adecca60,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
calendar_day_diff,date2 - date1（自然日差）。,pandas/numpy,f55a5424bb81a42bdafac235177757d5009227c6a4843ead7a2ccd312186e962,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
candle_abs_body,Absolute candle body.,pandas/numpy,a1dd0b4b32e32e8ab808477bd639dd46b7be80231200a66bc7f9ee13eae41f2e,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
candle_body,Signed candle body: close-open.,pandas/numpy,a1dd0b4b32e32e8ab808477bd639dd46b7be80231200a66bc7f9ee13eae41f2e,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
candle_body_percentile,Body-size percentile within an explicit window.,pandas/numpy,47f0ff07acae0a8fe21da7042a90a5f2b178e4f1915ab17d404ba03cea45cb16,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
candle_body_position,Body midpoint location inside daily range.,pandas/numpy,ae77bd451e8fb9a1f92b5035f6f9d56b0b8e1de4cae3edc2b15091f80fceb21c,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
candle_body_ratio,Absolute body divided by full candle range.,pandas/numpy,3ff148c8860309235c97d60515ea807b77abafcaf10eb8e414180b4f8a4b78d0,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
candle_body_zscore,Body size z-score versus prior candles.,pandas/numpy,47f0ff07acae0a8fe21da7042a90a5f2b178e4f1915ab17d404ba03cea45cb16,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
