factor_name,source,pool,domain,ic,rank_ic,source_formula,lqtp_formula,fe_formula,lqtp_notes,fe_notes
factor_downside_shock_accumulation_asym,dev,qualified,,0.014640776427512638,0.028334369224625098,"ret = pct_change(close); shock = 1[ret < -0.02]; prior = rolling_sum(shift(shock), 60); premium = max(down_vol - up_vol, 0); factor = prior * premium","ret = ts_pct(close); shock = 1[ret < -0.02]; prior = ts_sum(60, shift(shock)); premium = max(down_vol - up_vol, 0); factor = prior * premium","ret = ts_pct(close); shock = 1[ret < -0.02]; prior = ts_sum(60, shift(shock))60); premium = flex_max(down_vol - up_vol, 0); factor = prior * premium",,
factor_trend_path_efficiency_5_60,dev,qualified,,0.019033333027889683,0.034863937097675976,"(close / close.shift(60) - 1) * directional_efficiency(close, 5)","(close / close.delay(60) - 1) * directional_efficiency(close, 5)","(close / close.ts_delay(60) - 1) * directional_efficiency(close, 5)",Unconverted: ['directional_efficiency'],Unconverted: ['directional_efficiency']
factor_breakout_distance_volume_confirmed_20d,dev,qualified,,0.01605125610108377,0.024976815850681275,"EMA5((close - max(high.shift(1), 20))/ATR * ln(1 + volume/SMA10(volume)))","ema(5, (close - max(high.delay(1), 20))/ATR * log(1 + volume/SMA10(volume)))","ema(5, (close - flex_max(high.shift(1), 20)20))/ATR * log(1 + volume/SMA10(volume)))",Unconverted: ['SMA10'],Unconverted: ['SMA10']
factor_dryup_depth_range_tightness_5_60_volume,dev,qualified,,0.013167340129725433,0.03704887178497503,"dry = 1 - SMA(vol,5)/SMA(vol,60); tight = 1 - Rng(close,10)/Rng(close,60); signal = dry * tight","dry = 1 - ts_mean(5, vol)/ts_mean(60, vol); tight = 1 - Rng(close,10)/Rng(close,60); signal = dry * tight","dry = 1 - ts_mean(5, vol)/ts_mean(60, vol); tight = 1 - Rng(close,10)/Rng(close,60); signal = dry * tight",Unconverted: ['Rng'],Unconverted: ['Rng']
factor_growth_adjusted_earnings_yield,fundamental,qualified,,0.018670731755812655,0.026346369684413663,growth_adjusted_ey = rank(1/pe_ttm) * (1 + rank(forecast_incap_chgr_mid)),growth_adjusted_ey = cs_rank(1/pe_ttm) * (1 + cs_rank(forecast_incap_chgr_mid)),growth_adjusted_ey = rank(1/pe_ttm) * (1 + rank(forecast_incap_chgr_mid)),,
factor_simplified_size_adaptive_value_health,fundamental,qualified,,0.018367039951098764,0.0319529760322156,"For large caps: (1/pcf_ocf_ttm) * max(0, 1 - debttoassets/100). For small caps: (1/pb_lf) * max(0, 1 - debttoassets/100). Default large_val for medium caps.","For large caps: (1/pcf_ocf_ttm) * max(0, 1 - debttoassets/100). For small caps: (1/pb_lf) * max(0, 1 - debttoassets/100). Default large_val for medium caps.","For large caps: (1/pcf_ocf_ttm) * flex_max(0, 1 - debttoassets/100). For small caps: (1/pb_lf) * flex_max(0, 1 - debttoassets/100). Default large_val for medium caps.",,
factor_size_adaptive_value_health,fundamental,qualified,,0.018061199585791346,0.031679794222531546,"For large caps: (1/pcf_ocf_ttm) * (1 + max(0, roe_ttm2/100)) * max(0, 1 - debttoassets/100). For small caps: (1/pb_lf) * max(0, 1 - debttoassets/100). Default large_val for medium caps.","For large caps: (1/pcf_ocf_ttm) * (1 + max(0, roe_ttm2/100)) * max(0, 1 - debttoassets/100). For small caps: (1/pb_lf) * max(0, 1 - debttoassets/100). Default large_val for medium caps.","For large caps: (1/pcf_ocf_ttm) * (1 + flex_max(0, roe_ttm2/100)) * flex_max(0, 1 - debttoassets/100). For small caps: (1/pb_lf) * flex_max(0, 1 - debttoassets/100). Default large_val for medium caps.",,
factor_size_adaptive_cf_book_yield_moderated,fundamental,qualified,,0.018428863176965803,0.032523441634400296,"Large caps: (1/pcf_ocf_ttm) * (1 + 0.5*max(0, roe_ttm2/100)). Small caps: (1/pb_lf) * max(0, 1 - 0.5*debttoassets/100). Default large_val for medium caps.","Large caps: (1/pcf_ocf_ttm) * (1 + 0.5*max(0, roe_ttm2/100)). Small caps: (1/pb_lf) * max(0, 1 - 0.5*debttoassets/100). Default large_val for medium caps.","Large caps: (1/pcf_ocf_ttm) * (1 + 0.5*flex_max(0, roe_ttm2/100)). Small caps: (1/pb_lf) * flex_max(0, 1 - 0.5*debttoassets/100). Default large_val for medium caps.",,
factor_simplified_size_adaptive_value_v2,fundamental,qualified,,0.01743185279440001,0.03219309019839607,"For large caps: 1/pcf_ocf_ttm. For small caps: (1/pb_lf) * max(0, 1 - debttoassets/100). Default large formula for medium caps.","For large caps: 1/pcf_ocf_ttm. For small caps: (1/pb_lf) * max(0, 1 - debttoassets/100). Default large formula for medium caps.","For large caps: 1/pcf_ocf_ttm. For small caps: (1/pb_lf) * flex_max(0, 1 - debttoassets/100). Default large formula for medium caps.",,
factor_unified_quality_value,fundamental,qualified,,0.01791426360850791,0.03241580963356465,"If large cap: (1/pcf_ocf_ttm) * (1 + max(0, roe_ttm2/100)). If small cap: (1/pb_lf) * exp(-debttoassets/100). Default large_val for medium caps.","If large cap: (1/pcf_ocf_ttm) * (1 + max(0, roe_ttm2/100)). If small cap: (1/pb_lf) * exp(-debttoassets/100). Default large_val for medium caps.","If large cap: (1/pcf_ocf_ttm) * (1 + flex_max(0, roe_ttm2/100)). If small cap: (1/pb_lf) * exp(-debttoassets/100). Default large_val for medium caps.",,
factor_float_adaptive_cf_book_yield,fundamental,qualified,,0.01740391274705557,0.032131426585980206,"For large caps: (1/pcf_ocf_ttm) * (1 + max(0, roe_ttm2/100) * (1/log(1+free_float_shares))). For small caps: (1/pb_lf) * max(0, 1 - debttoassets/100). Default large_val for medium caps.","For large caps: (1/pcf_ocf_ttm) * (1 + max(0, roe_ttm2/100) * (1/log(1+free_float_shares))). For small caps: (1/pb_lf) * max(0, 1 - debttoassets/100). Default large_val for medium caps.","For large caps: (1/pcf_ocf_ttm) * (1 + flex_max(0, roe_ttm2/100) * (1/log(1+free_float_shares))). For small caps: (1/pb_lf) * flex_max(0, 1 - debttoassets/100). Default large_val for medium caps.",,
factor_size_adaptive_cf_book_yield,fundamental,qualified,,0.017050131641585357,0.03192330924659915,"For large caps: (1/pcf_ocf_ttm) * (1 + max(0, roe_ttm2/100)). For small caps: (1/pb_lf) * max(0, 1 - debttoassets/100). Default large_val for medium caps.","For large caps: (1/pcf_ocf_ttm) * (1 + max(0, roe_ttm2/100)). For small caps: (1/pb_lf) * max(0, 1 - debttoassets/100). Default large_val for medium caps.","For large caps: (1/pcf_ocf_ttm) * (1 + flex_max(0, roe_ttm2/100)). For small caps: (1/pb_lf) * flex_max(0, 1 - debttoassets/100). Default large_val for medium caps.",,
factor_size_adaptive_quality_value_nl,fundamental,qualified,,0.017209898400402296,0.03180498357893422,If small-cap: (1/PB) * (1/(1+Debt/100)); else: (1/PE) * (1 + (ROE/100)/(1+Debt/100)),If small-cap: (1/PB) * (1/(1+Debt/100)); else: (1/PE) * (1 + (ROE/100)/(1+Debt/100)),If small-cap: (1/PB) * (1/(1+Debt/100)); else: (1/PE) * (1 + (ROE/100)/(1+Debt/100)),,
factor_simplified_size_adaptive_value,fundamental,qualified,,0.017061862140361785,0.031323275473960195,If small-cap: (1/PB) * (1/(1+Debt/100)); else: (1/PE) * (1 + ROE/100),If small-cap: (1/PB) * (1/(1+Debt/100)); else: (1/PE) * (1 + ROE/100),If small-cap: (1/PB) * (1/(1+Debt/100)); else: (1/PE) * (1 + ROE/100),,
factor_size_gated_value_leverage,fundamental,qualified,,0.015519770204201847,0.032293972525274724,,,,,
factor_size_adaptive_value,fundamental,qualified,,0.016079620545058935,0.030903772620667184,If small-cap: (1/PB) * (1 - Debt/100); else: (1/PE) * (1 + ROE/100),If small-cap: (1/PB) * (1 - Debt/100); else: (1/PE) * (1 + ROE/100),If small-cap: (1/PB) * (1 - Debt/100); else: (1/PE) * (1 + ROE/100),,
factor_book_yield_leverage_sized,fundamental,qualified,,0.015509845669371088,0.03234553715162633,"book_yield = 1/pb_lf; leverage_adj = (1 - debt_ratio) clipped [0.1,1]; size_weight = 4*percentile_rank*(1-percentile_rank) clipped [0.1,1]; signal = book_yield * leverage_adj * size_weight","book_yield = 1/pb_lf; leverage_adj = (1 - debt_ratio) clipped [0.1,1]; size_weight = 4*percentile_rank*(1-percentile_rank) clipped [0.1,1]; signal = book_yield * leverage_adj * size_weight","book_yield = 1/pb_lf; leverage_adj = (1 - debt_ratio) clipped [0.1,1]; size_weight = 4*percentile_rank*(1-percentile_rank) clipped [0.1,1]; signal = book_yield * leverage_adj * size_weight",,
factor_size_gated_value_sales_cf,fundamental,qualified,,0.018343705175026013,0.03330038638553805,If size_large: 1/pcf_ocf_ttm. If size_small: (1/ps_ttm) * (1 - debttoassets/100). Else average.,If size_large: 1/pcf_ocf_ttm. If size_small: (1/ps_ttm) * (1 - debttoassets/100). Else average.,If size_large: 1/pcf_ocf_ttm. If size_small: (1/ps_ttm) * (1 - debttoassets/100). Else average.,,
factor_size_gated_value_cf_pb,fundamental,qualified,,0.018242055338541997,0.03283341956028777,If size_large: sm5(1/pcf_ocf_ttm). If size_small: sm5(1/pb_lf)*(1 - debttoassets/100). Else average.,If size_large: ts_mean(1/pcf_ocf_ttm). If size_small: ts_mean(1/pb_lf)*(1 - debttoassets/100). Else average.,If size_large: ts_mean(1/pcf_ocf_ttm). If size_small: ts_mean(1/pb_lf)*(1 - debttoassets/100). Else average.,,
factor_size_gated_value_sales_cf_smoothed,fundamental,qualified,,0.017680337974894527,0.032333068871056504,If size_large: sm5(1/pcf_ocf_ttm). If size_small: sm5(1/ps_ttm)*(1 - debttoassets/100). Else average.,If size_large: ts_mean(1/pcf_ocf_ttm). If size_small: ts_mean(1/ps_ttm)*(1 - debttoassets/100). Else average.,If size_large: ts_mean(1/pcf_ocf_ttm). If size_small: ts_mean(1/ps_ttm)*(1 - debttoassets/100). Else average.,,
factor_book_yield_leverage_roa_confirmed,fundamental,qualified,,0.01452271404395385,0.03203751251538238,"book_yield = 1/pb_lf; leverage_adj = (1 - debttoassets/100) clipped [0.1,1]; size_w = 4*percentile_rank*(1-percentile_rank) clipped [0.1,1]; roa_conf = (1 + roa2_ttm2/100) clipped [0.5,2]; signal = book_yield * leverage_adj * size_w * roa_conf","book_yield = 1/pb_lf; leverage_adj = (1 - debttoassets/100) clipped [0.1,1]; size_w = 4*percentile_rank*(1-percentile_rank) clipped [0.1,1]; roa_conf = (1 + roa2_ttm2/100) clipped [0.5,2]; signal = book_yield * leverage_adj * size_w * roa_conf","book_yield = 1/pb_lf; leverage_adj = (1 - debttoassets/100) clipped [0.1,1]; size_w = 4*percentile_rank*(1-percentile_rank) clipped [0.1,1]; roa_conf = (1 + roa2_ttm2/100) clipped [0.5,2]; signal = book_yield * leverage_adj * size_w * roa_conf",,
factor_float_conditioned_book_cheapness,fundamental,qualified,,0.012743511103927883,0.031099587756387204,(1 / pb_lf) * (1 / log(1 + free_float_shares)) * (1 - debttoassets/100),(1 / pb_lf) * (1 / log(1 + free_float_shares)) * (1 - debttoassets/100),(1 / pb_lf) * (1 / log(1 + free_float_shares)) * (1 - debttoassets/100),,
factor_value_health,fundamental,qualified,,0.012686951301545603,0.03208359561316933,"cheapness = 1/pb_lf, health = 1 - debttoassets/100, composite = cheapness * health","cheapness = 1/pb_lf, health = 1 - debttoassets/100, composite = cheapness * health","cheapness = 1/pb_lf, health = 1 - debttoassets/100, composite = cheapness * health",,
factor_book_yield_solvency,fundamental,qualified,,0.012619773360789082,0.032118945519532,(1/pb_lf) * (1 - debttoassets/100),(1/pb_lf) * (1 - debttoassets/100),(1/pb_lf) * (1 - debttoassets/100),,
factor_book_yield_leverage,fundamental,qualified,,0.01271705267645968,0.032470877551511707,"book_yield = 1/pb_lf; leverage_adj = (1 - debt_ratio) clipped [0.1,1]; signal = book_yield * leverage_adj","book_yield = 1/pb_lf; leverage_adj = (1 - debt_ratio) clipped [0.1,1]; signal = book_yield * leverage_adj","book_yield = 1/pb_lf; leverage_adj = (1 - debt_ratio) clipped [0.1,1]; signal = book_yield * leverage_adj",,
factor_simplified_leverage_adjusted_book_yield,fundamental,qualified,,0.012582084189681637,0.0320784374414644,"factor = (1/pb_lf) * max(0, 1 - debttoassets/100)","factor = (1/pb_lf) * max(0, 1 - debttoassets/100)","factor = (1/pb_lf) * flex_max(0, 1 - debttoassets/100)",,
factor_leverage_adjusted_book_yield,fundamental,qualified,,0.012582084189681637,0.0320784374414644,"book_yield = 1/pb_lf; factor = book_yield * max(0, 1 - debttoassets/100)","book_yield = 1/pb_lf; factor = book_yield * max(0, 1 - debttoassets/100)","book_yield = 1/pb_lf; factor = book_yield * flex_max(0, 1 - debttoassets/100)",,
factor_smoothed_leverage_adjusted_book_yield,fundamental,qualified,,0.012060329199421715,0.031186390536339575,"book_yield_smoothed = rolling_mean(1/pb_lf, 4); factor = book_yield_smoothed * max(0, 1 - debttoassets/100)","book_yield_smoothed = ts_mean(4, 1/pb_lf); factor = book_yield_smoothed * max(0, 1 - debttoassets/100)","book_yield_smoothed = ts_mean(4, 1/pb_lf); factor = book_yield_smoothed * flex_max(0, 1 - debttoassets/100)",,
factor_leverage_adjusted_book_yield_smoothed,fundamental,qualified,,0.011933798969195776,0.03101428991161011,"smooth_book_yield = rolling_mean(1/pb_lf, 5); factor = smooth_book_yield * max(0, 1 - debttoassets/100)","smooth_book_yield = ts_mean(5, 1/pb_lf); factor = smooth_book_yield * max(0, 1 - debttoassets/100)","smooth_book_yield = ts_mean(5, 1/pb_lf); factor = smooth_book_yield * flex_max(0, 1 - debttoassets/100)",,
factor_ts_size_adaptive_earnings_book_smooth,fundamental,qualified,,0.014763645794735724,0.04524993164573103,"weight = 1/(1+exp(-clip(size_z,-10,10))), output = weight * (1/pe_ttm) + (1-weight) * (1/pb_lf) * max(0, 1-debttoassets/100)","weight = 1/(1+exp(-clip(size_z,-10,10))), output = weight * (1/pe_ttm) + (1-weight) * (1/pb_lf) * max(0, 1-debttoassets/100)","weight = 1/(1+exp(-clip(size_z,-10,10))), output = weight * (1/pe_ttm) + (1-weight) * (1/pb_lf) * flex_max(0, 1-debttoassets/100)",,
factor_value_quality_simple,fundamental,qualified,,0.011656660865015102,0.03208359561316933,"composite = (1/pb_lf) * max(0, 1 - debttoassets/100)","composite = (1/pb_lf) * max(0, 1 - debttoassets/100)","composite = (1/pb_lf) * flex_max(0, 1 - debttoassets/100)",,
factor_levered_book_yield,fundamental,qualified,,0.011602189635527836,0.03211594807438042,(1 / pb_lf) * (1 - debttoassets/100),(1 / pb_lf) * (1 - debttoassets/100),(1 / pb_lf) * (1 - debttoassets/100),,
factor_cheapness_bv_adjusted,fundamental,qualified,,0.01160028748851264,0.032118945519532,signal = (1/pb_lf) * (1 - debttoassets/100),signal = (1/pb_lf) * (1 - debttoassets/100),signal = (1/pb_lf) * (1 - debttoassets/100),,
factor_attentive_sales_yield_winsor,fundamental,qualified,,0.012231734230862932,0.03492987420969172,"1/ps_ttm * (1 - ts_rank(free_turn, 20)), then rolling 60-day winsorize at 5% and 95% quantiles to reduce outlier drag on IC.","1/ps_ttm * (1 - ts_rank(free_turn, 20)), then rolling 60-day winsorize at 5% and 95% quantiles to reduce outlier drag on IC.","1/ps_ttm * (1 - ts_rank(free_turn, 20)), then rolling 60-day winsorize at 5% and 95% quantiles to reduce outlier drag on IC.",,
factor_attentive_sales_yield_winsorized,fundamental,qualified,,0.012229170712852577,0.03493004168174804,"clip( (1/ps_ttm) * (1 - ts_rank(free_turn, 20)), rolling 5th/95th pctl 60d )","clip( (1/ps_ttm) * (1 - ts_rank(free_turn, 20)), rolling 5th/95th pctl 60d )","clip( (1/ps_ttm) * (1 - ts_rank(free_turn, 20)), rolling 5th/95th pctl 60d )",,
factor_book_yield_leverage_roa_simplified,fundamental,qualified,,0.011827929829790466,0.03302623225725021,"book_yield = 1/pb_lf; debt_ratio = debttoassets/100; adj = (1 - debt_ratio) clipped [0.1,1]; roa = roa2_ttm2/100; roa_conf = (1+roa) clipped [0.5,2]; signal = book_yield * adj * roa_conf, then cs_rank","book_yield = 1/pb_lf; debt_ratio = debttoassets/100; adj = (1 - debt_ratio) clipped [0.1,1]; roa = roa2_ttm2/100; roa_conf = (1+roa) clipped [0.5,2]; signal = book_yield * adj * roa_conf, then cs_rank","book_yield = 1/pb_lf; debt_ratio = debttoassets/100; adj = (1 - debt_ratio) clipped [0.1,1]; roa = roa2_ttm2/100; roa_conf = (1+roa) clipped [0.5,2]; signal = book_yield * adj * roa_conf, then cs_rank",,
factor_book_yield_leverage_roa,fundamental,qualified,,0.011827929829790466,0.03302623225725021,"book_yield = 1/pb_lf; adj = (1 - debttoassets/100) clipped [0.1,1]; roa_conf = (1 + roa2_ttm2/100) clipped [0.5,2]; signal = book_yield * adj * roa_conf","book_yield = 1/pb_lf; adj = (1 - debttoassets/100) clipped [0.1,1]; roa_conf = (1 + roa2_ttm2/100) clipped [0.5,2]; signal = book_yield * adj * roa_conf","book_yield = 1/pb_lf; adj = (1 - debttoassets/100) clipped [0.1,1]; roa_conf = (1 + roa2_ttm2/100) clipped [0.5,2]; signal = book_yield * adj * roa_conf",,
factor_attentive_sales_yield,fundamental,qualified,,0.011964938537900736,0.03446363259894264,"1/ps_ttm * (1 - ts_rank(free_turn, 20)), with forward fill to reduce NaNs","1/ps_ttm * (1 - ts_rank(free_turn, 20)), with forward fill to reduce NaNs","1/ps_ttm * (1 - ts_rank(free_turn, 20)), with forward fill to reduce NaNs",,
factor_float_conditioned_book_cheapness_v2,fundamental,qualified,,0.015232413147010508,0.03820030864433129,(1 / pb_lf) * (1 / log(1 + mkt_cap_float)) * (1 / (1 + debttoassets/100)),(1 / pb_lf) * (1 / log(1 + mkt_cap_float)) * (1 / (1 + debttoassets/100)),(1 / pb_lf) * (1 / log(1 + mkt_cap_float)) * (1 / (1 + debttoassets/100)),,
factor_size_adaptive_ey_zscore_no_large_lev,fundamental,qualified,,0.01416914095367641,0.03451648822243992,"Small: (1/pb_pos)*(1-debt/assets); Large: zscore(1/pe, 126); blend via sigmoid(size_rank)","Small: (1/pb_pos)*(1-debt/assets); Large: cs_zscore(1/pe, 126); blend via sigmoid(size_rank)","Small: (1/pb_pos)*(1-debt/assets); Large: zscore(1/pe, 126); blend via sigmoid(size_rank)",,
factor_float_conditioned_cheapness_ztrim,fundamental,qualified,,0.014523224839337505,0.03713341335335305,raw = (1/pb_lf) / log(1+free_float_shares) * 1/(1+debttoassets/100); then clip to rolling mean ± 3*std over 252 days,raw = (1/pb_lf) / log(1+free_float_shares) * 1/(1+debttoassets/100); then clip to rolling mean ± 3*std over 252 days,raw = (1/pb_lf) / log(1+free_float_shares) * 1/(1+debttoassets/100); then clip to rolling mean ± 3*std over 252 days,,
factor_float_conditioned_cheapness_winsorized,fundamental,qualified,,0.014495447490542978,0.03701323298051034,raw = (1/pb_lf) / log(1+free_float_shares) * 1/(1+debttoassets/100); then clip to rolling 1st-99th percentile over 252 days,raw = (1/pb_lf) / log(1+free_float_shares) * 1/(1+debttoassets/100); then clip to rolling 1st-99th percentile over 252 days,raw = (1/pb_lf) / log(1+free_float_shares) * 1/(1+debttoassets/100); then clip to rolling 1st-99th percentile over 252 days,,
